点赞数,转发数,热度指数,文章评级,浏览量
1981,1122,4,3,135001
1235,1235,5,3,98603
754,520,6,8,84504
864,864,5,7,127004
1364,1364,7,5,185854
1738,715,4,4,104903
1456,728,7,5,179541
1077,991,5,6,118005
2392,2392,10,5,386252
1308,728,5,7,160002
1344,624,5,5,98003
848,848,6,5,149305
2274,1105,5,5,154302
2473,1143,8,5,317003
1430,1413,7,5,187104
1687,747,5,5,160004
2018,2002,9,5,378505
1661,799,7,6,212003
3112,1360,8,4,235004
1367,884,6,6,127502
2192,720,5,8,179504
1196,1196,6,5,139003
864,864,4,5,111255
698,698,5,9,118003
901,901,4,7,107905
1252,1602,6,7,235001
1848,833,6,7,207001
1625,1573,8,5,235005
1970,1085,8,5,281005
1689,1436,6,5,127502
1509,1461,6,5,175003
1689,1568,8,5,271001
1166,856,7,5,190004
1344,672,5,7,147001
1092,525,6,5,88004
1582,1624,5,5,190003
1056,1056,5,7,139402
1250,625,7,5,164701
894,894,5,7,149904
987,483,6,6,106003
1982,807,7,6,228503
2036,2136,7,5,375002
1258,560,6,5,105003
1094,1094,6,5,155005
1350,1248,6,5,168505
2794,1462,8,5,403002
2217,2217,8,6,268004
1063,1056,5,5,128004
1244,1244,6,6,150003
1419,1419,8,6,392001
1675,841,6,5,181003
2007,1017,10,5,310001
912,912,5,8,147002
1316,926,5,7,130002
1052,1052,5,5,138504
2521,942,6,4,151401
1348,884,5,8,117005
1635,485,6,8,117005
1470,941,4,6,135002
1097,1040,6,5,152002
1788,1753,8,5,236501
1296,NaN,4,5,90003
1456,728,7,5,189003
950,950,5,5,119501
1530,1530,7,5,260001
2121,2121,9,5,415303
2520,1338,8,7,310002
1563,1563,8,5,245004
2418,1311,7,5,341003
780,780,5,7,124905
1959,1088,8,5,270001
1704,1704,8,5,306002
1392,689,6,7,161753
1472,1372,7,5,187505
1710,1710,8,5,372403
1728,1728,5,5,188002
1120,1120,5,5,147002
2515,2035,6,3,200629
784,784,6,3,76001
1302,1302,7,5,176487
1167,1158,6,6,173004
1012,1012,6,5,118401
1436,1436,7,5,210001
1400,672,6,7,149505
1220,1199,7,5,194005
1437,1188,5,6,168005
1960,960,5,5,124505
1328,1328,6,5,143003
1223,600,7,5,147403
1671,959,6,5,173002
1872,1845,7,5,241502
1868,780,5,7,197504
1573,756,6,5,177503
1889,925,7,4,122002
1251,1251,6,6,160002
1217,626,6,6,120003
1978,832,7,5,176002
1355,644,5,7,127504
1056,1056,5,6,139005
2868,1992,9,5,556586
1804,994,7,5,189001
1668,840,7,5,180002
778,740,5,6,120504
1370,1090,7,5,152003
1690,815,7,6,144004
1216,1216,6,5,164001
1575,1575,6,5,179205
1868,585,6,7,178005
1668,856,6,8,140005
904,876,5,7,109903
1253,1253,6,5,157003
1362,1362,6,5,194703
1743,702,6,6,175003
2704,1952,8,7,345005
2084,2078,10,5,385005
1511,802,6,5,185005
1352,1352,7,5,208902
1947,991,7,5,254904
1603,761,6,5,175905
1744,996,7,7,194501
1456,728,6,5,163995
1820,1026,7,6,184001
1358,1358,7,5,224003
1792,963,7,5,231504
694,440,5,6,90354
1394,384,5,5,167505
1344,819,6,6,137504
1571,799,6,7,178003
1469,756,6,7,135005
1537,1319,6,9,174002
2142,896,6,6,193502
954,911,5,5,132502
1621,1208,7,7,202503
1586,1362,6,5,181004
1536,1536,7,5,214001
912,888,6,6,156002
894,894,5,7,130003
1412,1392,6,5,175003
1709,1698,9,5,328903
2364,2330,9,5,611658
1720,860,7,5,196504
840,672,5,7,87002
1040,1040,5,8,127005
1664,1004,6,7,159002
1652,1494,8,5,251003
1548,804,6,6,155002
1665,810,8,6,227005
1905,1905,9,5,320001
1712,1626,5,5,145003
1385,910,5,4,166002
1498,691,6,5,187501
958,958,6,8,151503
1922,NaN,7,5,198501
1629,1616,8,5,270003
1112,536,5,3,85001
1148,1148,5,5,132504
720,NaN,3,6,72505
948,948,4,6,119005
1482,650,7,9,143002
1253,1237,7,5,176002
1279,1196,6,6,171501
2094,912,7,5,263005
1680,1650,7,5,213253
729,270,3,6,52005
1936,1406,8,5,230503
1200,768,5,6,130505
3395,1440,6,7,200001
2210,1008,6,4,117503
1350,1064,6,5,165005
1111,572,7,7,116903
1552,1552,7,5,212904
1790,732,6,5,165155
894,894,5,5,109501
2574,1482,8,5,276005
3279,1650,8,5,538002
1306,992,5,7,153004
912,912,5,5,115005
720,720,4,5,34905
2668,1572,9,5,412503
1285,672,5,5,127003
2392,1396,8,5,348003
630,630,4,8,86003
1826,910,7,8,155001
1040,NaN,3,4,87502
1392,689,7,5,146003
864,864,6,6,120002
1838,1838,9,5,315005
2136,2136,5,3,137904
1473,1437,5,8,143004
2524,2524,8,5,278005
1217,1188,7,5,173004
832,832,6,6,105504
1717,756,7,5,140005
1048,NaN,5,5,98303
1803,1134,5,4,155003
1054,936,6,7,137503
2599,1393,9,5,333170
804,788,5,7,119001
1204,1204,6,5,162003
1442,1442,6,6,157904
1164,1164,7,5,140001
5642,6110,10,5,160003
1452,736,4,5,113005
1504,1504,7,5,203002
1114,1114,6,5,155002
1266,1257,7,5,176003
1513,939,5,8,137505
902,864,5,5,131002
1056,1056,4,4,107004
1710,1710,7,5,240005
1062,1029,6,5,146802
1768,880,7,7,163004
2622,1463,8,5,325002
1349,1349,7,5,179001
864,864,4,5,115005
1732,741,6,5,178001
2417,1288,8,5,260004
1078,1078,5,6,149905
833,833,5,5,112002
1535,NaN,5,5,118860
747,600,4,5,79905
1464,520,5,6,175003
1632,935,7,5,176503
960,960,4,5,94755
1178,1176,5,6,157004
874,864,5,6,130003
1428,1428,7,5,182005
1440,1440,4,3,150003
1752,559,8,7,164001
2156,1568,7,7,262502
1192,720,4,4,135001
1630,1622,8,5,295498
1370,1370,8,5,202501
1262,1262,6,8,181503
1125,1125,5,5,155004
1725,539,7,6,197005
1923,750,7,5,190001
1572,1572,5,4,186701
1077,961,5,2,67004
1022,1022,5,4,85002
1090,1090,5,5,157005
1786,1499,5,6,228951
848,848,6,5,141004
1795,1777,8,5,230001
691,691,5,6,86003
1285,660,6,5,143503
1252,1252,6,6,142001
796,796,5,7,85004
1072,547,6,5,148005
1434,1454,7,5,189003
2073,1542,6,6,210003
1471,729,6,5,172505
3627,1930,10,5,625005
1728,864,6,5,207503
1489,1489,6,7,185751
2030,848,6,6,195005
1580,1580,8,5,235133
1801,893,8,5,239901
1477,861,7,7,145002
1164,1164,5,5,125004
1640,798,6,5,173002
1797,939,7,5,213501
1682,804,6,5,200504
1812,864,5,5,169501
1110,1097,5,6,165503
1779,866,7,5,197903
2514,1216,7,5,250001
1412,780,6,6,132502
1576,1042,5,6,149003
1367,861,5,8,119002
2110,2110,7,5,244002
2069,585,7,7,242001
1414,1184,6,8,176502
1416,708,6,6,179901
1950,975,7,5,239004
1578,806,6,7,133004
2224,1462,9,5,350001
1686,1686,6,6,207505
1040,1040,5,5,152004
981,981,6,5,143253
2200,1272,5,7,145905
1053,1053,5,7,145504
964,876,5,7,163504
864,864,3,3,67001
1441,855,6,6,148501
1824,1643,7,5,302005
1362,796,5,5,143002
1624,1624,8,5,262005
1962,1391,7,5,239804
2263,1141,8,5,258003
1646,918,7,5,164005
1283,931,5,7,140004
974,974,5,5,93503
1389,651,7,8,135005
1221,784,5,7,104902
968,656,4,6,64503
1604,984,5,5,117002
990,990,5,5,145001
1386,672,6,5,158905
1208,1208,6,6,165003
1851,822,6,8,187002
914,870,5,5,148005
1716,858,6,6,171005
2402,3094,10,5,555001
1555,1373,7,5,192501
1337,1337,8,5,180004
1935,832,8,5,263440
1569,1386,7,5,175905
1516,1516,6,6,167003
1986,768,7,6,205005
912,912,5,7,120002
864,864,5,8,136505
693,693,4,4,52504
1638,943,6,5,192001
1826,1814,8,5,319005
1920,1052,5,5,172505
1617,1604,6,5,193003
1218,1218,6,5,208305
1396,698,6,7,153577
1949,1050,7,5,236001
2531,1318,8,5,290005
1733,847,7,5,225002
1953,1082,8,5,252005
1659,1501,8,5,278002
1920,928,5,5,137003
2654,1054,6,7,250002
999,999,5,7,132504
1520,1156,6,6,153005
1611,780,6,6,167901
1121,1121,4,5,140001
1657,1657,6,3,163503
1652,1600,8,5,392501
1096,1096,5,5,138805
1593,839,6,5,193005
