用户码,曾助力,曾拼团,曾推荐,设备,城市类型,R值,M值,裂变类型,是否转化
19534,0,1,1,手机,一线,9,29.99,拼团盛放,0
19535,1,0,0,电脑,二线,6,485.21,没有促销,0
19536,0,1,1,手机,一线,9,179.6,没有促销,0
19537,0,1,1,手机,二线,10,127.84,拼团盛放,0
19538,0,1,1,手机,一线,6,29.99,情侣花享,0
19539,1,1,1,手机,一线,7,541.62,拼团盛放,0
19540,1,0,0,手机,二线,7,120.93,情侣花享,1
19541,1,1,1,电脑,一线,1,519.8,情侣花享,0
19542,0,1,1,手机,一线,5,29.99,拼团盛放,1
19543,0,1,1,其它,一线,8,561.63,没有促销,0
19544,1,0,1,手机,一线,2,230.31,情侣花享,0
19545,1,0,1,手机,中小,2,1023.73,没有促销,0
19546,0,1,1,电脑,二线,4,562.45,拼团盛放,0
19547,0,1,1,电脑,二线,2,55.14,拼团盛放,0
19548,1,1,0,电脑,一线,4,428.61,情侣花享,0
19549,1,0,0,其它,二线,1,255.71,拼团盛放,0
19550,1,1,1,其它,二线,1,723.22,拼团盛放,0
19551,0,1,0,手机,二线,4,41.27,没有促销,1
19552,0,1,0,手机,二线,2,162.23,没有促销,0
19553,1,0,0,手机,二线,7,29.99,拼团盛放,0
19554,1,0,0,其它,中小,3,405.77,没有促销,1
19555,1,0,0,手机,中小,5,355.04,拼团盛放,0
19556,1,1,1,电脑,二线,5,326.87,没有促销,1
19557,0,1,1,电脑,中小,4,138.74,没有促销,0
19558,1,0,0,电脑,二线,9,151.59,情侣花享,0
19559,0,1,1,手机,二线,10,562.35,拼团盛放,0
19560,0,1,1,手机,一线,8,29.99,拼团盛放,0
19561,0,1,0,电脑,一线,11,323.06,拼团盛放,0
19562,0,1,1,手机,二线,7,396.95,拼团盛放,0
19563,1,0,1,手机,中小,9,128.26,情侣花享,0
19564,1,1,1,电脑,中小,3,216.75,拼团盛放,1
19565,1,0,1,手机,二线,10,87.3,没有促销,0
19566,1,0,0,手机,中小,6,337.48,情侣花享,1
19567,1,0,1,手机,二线,9,37.06,情侣花享,0
19568,0,1,1,电脑,二线,10,113.26,情侣花享,0
19569,1,0,0,手机,一线,2,284.13,情侣花享,0
19570,0,1,0,手机,二线,9,107.37,情侣花享,1
19571,1,1,1,其它,中小,1,604.08,拼团盛放,0
19572,1,0,1,手机,二线,3,290.95,情侣花享,1
19573,0,1,0,手机,二线,7,59.92,没有促销,0
19574,1,0,1,手机,二线,2,141.91,拼团盛放,0
19575,0,1,1,电脑,一线,7,82.75,情侣花享,0
19576,0,1,0,手机,一线,6,42.23,情侣花享,0
19577,0,1,1,电脑,一线,2,36.43,没有促销,0
19578,1,1,0,手机,一线,5,445.93,拼团盛放,1
19579,1,0,0,手机,一线,8,161.59,情侣花享,0
19580,1,0,1,手机,一线,12,61.3,拼团盛放,0
19581,1,0,1,电脑,一线,11,654.72,情侣花享,0
19582,1,0,0,手机,二线,3,457.68,情侣花享,0
19583,1,0,0,电脑,二线,4,229.07,情侣花享,0
19584,1,0,0,电脑,一线,11,31.63,没有促销,0
19585,1,1,1,电脑,二线,10,202.98,没有促销,0
19586,1,0,1,手机,二线,7,240.97,情侣花享,0
19587,0,1,1,其它,二线,2,502.85,没有促销,0
19588,1,0,1,手机,中小,6,275,没有促销,0
19589,0,1,1,电脑,一线,2,51.43,情侣花享,0
19590,0,1,0,手机,二线,7,254.45,没有促销,0
19591,0,1,0,手机,一线,5,91.17,拼团盛放,0
19592,1,0,1,手机,二线,4,109.6,没有促销,0
19593,0,1,1,手机,二线,1,261.88,拼团盛放,0
19594,0,1,0,手机,二线,3,197.22,拼团盛放,1
19595,0,1,0,其它,二线,2,437.36,情侣花享,0
19596,0,1,0,手机,一线,11,206.74,没有促销,0
19597,1,0,0,手机,二线,8,34.03,拼团盛放,0
19598,1,0,0,其它,一线,3,427.78,情侣花享,0
19599,1,0,1,电脑,一线,5,527.85,拼团盛放,0
19600,0,1,1,电脑,一线,12,93.06,拼团盛放,0
19601,1,1,0,手机,二线,3,205.71,情侣花享,1
19602,1,0,0,手机,二线,1,70.76,没有促销,0
19603,0,1,1,电脑,一线,12,58.6,没有促销,0
19604,1,0,0,手机,二线,5,63.85,没有促销,1
19605,1,0,1,电脑,二线,2,76.02,没有促销,0
19606,0,1,1,手机,二线,7,52.52,没有促销,0
19607,0,1,0,手机,二线,10,222.42,情侣花享,0
19608,0,1,0,电脑,二线,5,458.37,没有促销,0
19609,0,1,1,电脑,中小,8,42.59,没有促销,0
19610,1,1,1,手机,一线,1,1316.78,没有促销,0
19611,1,0,1,电脑,一线,1,187.07,情侣花享,0
19612,0,1,0,电脑,一线,1,94.84,拼团盛放,0
19613,1,0,0,手机,中小,3,377.15,没有促销,0
19614,0,1,1,电脑,一线,4,255.53,拼团盛放,1
19615,1,1,1,其它,二线,3,1065.52,拼团盛放,1
19616,0,1,1,手机,一线,5,257.31,情侣花享,0
19617,0,1,1,电脑,二线,5,64.56,没有促销,1
19618,1,0,1,电脑,一线,6,32.34,拼团盛放,0
19619,0,1,0,手机,二线,9,107.79,没有促销,0
19620,0,1,0,电脑,二线,4,29.99,情侣花享,1
19621,0,1,1,手机,一线,2,160.68,拼团盛放,0
19622,1,0,0,手机,二线,10,55.57,情侣花享,0
19623,0,1,1,手机,一线,1,184.76,拼团盛放,0
19624,1,1,0,电脑,二线,2,282.69,没有促销,0
19625,1,0,0,其它,一线,1,482.75,没有促销,0
19626,1,0,1,手机,中小,3,314.21,情侣花享,0
19627,0,1,0,手机,二线,2,116.48,情侣花享,0
19628,0,1,0,电脑,中小,3,325.84,情侣花享,0
19629,1,0,0,手机,二线,10,126.15,没有促销,0
19630,1,0,1,电脑,二线,5,99.12,情侣花享,0
19631,1,0,0,其它,二线,9,462.26,没有促销,1
19632,0,1,0,手机,一线,6,195.01,情侣花享,0
19633,0,1,0,电脑,二线,10,365.44,情侣花享,0
19634,1,1,1,电脑,一线,1,583.35,情侣花享,0
19635,0,1,0,手机,二线,9,29.99,没有促销,0
19636,0,1,1,电脑,二线,4,107.45,拼团盛放,1
19637,0,1,1,手机,二线,8,81.17,没有促销,0
19638,1,0,1,电脑,中小,11,29.99,没有促销,0
19639,1,0,1,手机,二线,12,121.93,情侣花享,0
19640,0,1,1,手机,二线,7,64.71,没有促销,0
19641,0,1,0,手机,一线,4,318.75,情侣花享,1
19642,0,1,1,其它,二线,6,417.69,情侣花享,1
19643,1,0,1,手机,一线,4,51.95,情侣花享,0
19644,1,1,1,手机,二线,10,297.25,没有促销,0
19645,1,0,0,其它,中小,3,438.91,拼团盛放,0
19646,1,0,0,手机,二线,2,65.18,情侣花享,1
19647,1,0,1,电脑,中小,11,46.71,拼团盛放,0
19648,0,1,0,电脑,一线,3,64.94,情侣花享,0
19649,1,0,0,电脑,一线,10,182.36,没有促销,1
19650,1,0,1,其它,一线,1,1232.02,拼团盛放,1
19651,0,1,1,电脑,二线,9,126.45,没有促销,0
19652,0,1,1,手机,二线,12,530.55,拼团盛放,1
19653,1,0,1,其它,中小,1,529.36,拼团盛放,0
19654,0,1,0,手机,二线,6,29.99,情侣花享,0
19655,1,0,1,其它,一线,1,301.02,没有促销,1
19656,0,1,1,手机,二线,7,119.7,情侣花享,0
19657,0,1,0,电脑,二线,8,192.37,拼团盛放,0
19658,0,1,0,电脑,一线,4,330.1,拼团盛放,0
19659,1,0,0,手机,二线,11,29.99,拼团盛放,0
19660,1,0,1,手机,一线,6,188.57,情侣花享,0
19661,1,0,0,手机,一线,4,29.99,情侣花享,0
19662,1,0,0,手机,中小,2,29.99,情侣花享,0
19663,0,1,1,电脑,二线,5,176.39,拼团盛放,0
19664,1,0,1,手机,一线,7,570.37,情侣花享,0
19665,1,0,0,电脑,二线,4,53.12,情侣花享,0
19666,1,0,0,电脑,二线,11,42.45,没有促销,0
19667,1,0,1,电脑,二线,10,566.22,拼团盛放,0
19668,0,1,1,电脑,中小,2,525.12,拼团盛放,0
19669,1,0,0,电脑,二线,5,383.8,情侣花享,0
19670,1,0,1,其它,中小,2,212.74,情侣花享,0
19671,1,0,1,手机,二线,8,135.72,拼团盛放,0
19672,0,1,1,电脑,一线,2,511.85,没有促销,0
19673,0,1,0,电脑,二线,8,47,情侣花享,0
19674,1,0,1,电脑,二线,6,126.41,没有促销,0
19675,1,0,0,电脑,二线,2,73.92,拼团盛放,1
19676,0,1,0,手机,中小,1,82.97,没有促销,0
19677,1,0,0,手机,中小,11,154.33,没有促销,1
19678,0,1,0,电脑,二线,11,140.07,情侣花享,0
19679,0,1,0,电脑,中小,2,255.33,拼团盛放,0
19680,0,1,1,电脑,二线,3,98.91,情侣花享,0
19681,1,1,0,手机,中小,9,446.57,没有促销,0
19682,1,0,1,手机,二线,3,106.12,没有促销,0
19683,0,1,0,手机,一线,1,36.99,没有促销,0
19684,0,1,1,手机,二线,6,52.86,情侣花享,0
19685,0,1,1,手机,一线,2,766.77,拼团盛放,0
19686,0,1,1,手机,一线,6,36.26,情侣花享,0
19687,0,1,1,电脑,二线,9,135.29,情侣花享,0
19688,1,1,1,手机,二线,2,1074.01,情侣花享,0
19689,0,1,1,电脑,中小,6,140.72,没有促销,0
19690,1,0,0,手机,中小,10,154.06,没有促销,0
19691,1,0,0,手机,一线,4,493.28,没有促销,0
19692,0,1,0,电脑,二线,2,29.99,没有促销,0
19693,0,1,0,电脑,二线,1,443.27,情侣花享,0
19694,1,0,1,手机,二线,1,29.99,拼团盛放,0
19695,1,0,0,电脑,二线,5,99.77,没有促销,0
19696,1,0,1,手机,二线,2,158.59,没有促销,0
19697,0,1,0,电脑,一线,10,68.37,没有促销,1
19698,1,0,1,手机,中小,3,667.19,情侣花享,0
19699,0,1,0,手机,二线,5,92.06,没有促销,0
19700,0,1,1,手机,二线,9,197.58,情侣花享,0
19701,1,1,1,手机,一线,4,221.18,拼团盛放,0
19702,1,0,1,其它,二线,5,330.44,情侣花享,0
19703,1,0,0,手机,二线,2,210.21,情侣花享,1
19704,0,1,1,电脑,二线,7,209,拼团盛放,0
19705,0,1,1,电脑,一线,10,511.5,没有促销,0
19706,1,0,1,手机,二线,11,29.99,情侣花享,0
19707,0,1,1,手机,二线,5,29.99,拼团盛放,0
19708,1,0,1,手机,二线,5,39.57,没有促销,0
19709,1,1,1,手机,二线,10,202.44,拼团盛放,1
19710,0,1,0,电脑,一线,12,213.48,情侣花享,0
19711,0,1,1,手机,中小,1,290.44,情侣花享,0
19712,1,0,1,手机,二线,1,112.35,拼团盛放,0
19713,0,1,0,电脑,二线,1,108.52,没有促销,0
19714,1,0,0,电脑,二线,10,222.73,没有促销,0
19715,0,1,1,电脑,二线,1,75.91,拼团盛放,0
19716,0,1,1,手机,二线,2,1002.07,没有促销,0
19717,1,0,0,电脑,一线,2,315.11,拼团盛放,1
19718,1,1,1,电脑,中小,1,655.08,拼团盛放,1
19719,1,1,0,电脑,一线,10,228.36,拼团盛放,0
19720,1,0,1,手机,中小,4,181.81,没有促销,0
19721,1,0,0,手机,中小,4,68.76,拼团盛放,0
19722,0,1,1,电脑,二线,1,706.2,拼团盛放,0
19723,1,1,0,手机,二线,1,478.55,没有促销,0
19724,1,0,0,手机,一线,10,197.77,情侣花享,0
19725,0,1,0,手机,一线,9,205.8,情侣花享,0
19726,1,0,0,手机,二线,1,450.96,拼团盛放,0
19727,0,1,1,手机,中小,10,29.99,情侣花享,0
19728,0,1,0,手机,二线,5,73.06,没有促销,0
19729,1,0,0,电脑,二线,10,102.88,没有促销,0
19730,1,0,1,手机,一线,1,196.72,拼团盛放,0
19731,1,0,0,手机,一线,6,46.74,情侣花享,0
19732,0,1,0,手机,一线,3,102.68,没有促销,0
19733,1,0,0,手机,中小,2,208.64,情侣花享,0
19734,1,0,1,其它,二线,5,507.21,拼团盛放,0
19735,0,1,1,其它,二线,2,454.38,情侣花享,1
19736,0,1,1,手机,一线,11,710.53,没有促销,0
19737,1,0,0,其它,中小,2,430.88,情侣花享,0
19738,0,1,1,电脑,二线,10,29.99,没有促销,0
19739,0,1,1,电脑,二线,10,29.99,没有促销,0
19740,0,1,1,电脑,二线,3,29.99,拼团盛放,0
19741,0,1,0,电脑,二线,8,113.01,没有促销,0
19742,0,1,1,电脑,二线,3,163.35,情侣花享,0
19743,1,0,0,手机,一线,1,127.64,拼团盛放,1
19744,0,1,0,手机,二线,9,29.99,没有促销,0
19745,1,0,0,其它,二线,4,377.59,情侣花享,1
19746,1,1,0,手机,中小,1,291.55,没有促销,0
19747,1,0,1,电脑,一线,4,309.3,情侣花享,0
19748,0,1,0,手机,一线,10,76.34,没有促销,0
19749,1,0,0,手机,一线,9,298.8,没有促销,0
19750,1,0,0,手机,中小,6,98.18,没有促销,0
19751,1,1,0,电脑,中小,9,226.35,拼团盛放,1
19752,1,1,0,电脑,一线,8,280.1,拼团盛放,1
19753,1,1,1,其它,一线,1,743.5,没有促销,0
19754,0,1,0,电脑,二线,7,39.01,没有促销,0
19755,1,0,0,电脑,二线,2,29.99,拼团盛放,1
19756,0,1,1,手机,中小,5,713.27,情侣花享,0
19757,0,1,0,电脑,二线,2,303.01,拼团盛放,1
19758,0,1,1,电脑,中小,1,373.78,拼团盛放,0
19759,1,0,0,手机,一线,10,278.76,情侣花享,0
19760,1,0,1,其它,一线,3,360.49,没有促销,0
19761,0,1,0,手机,二线,9,237,没有促销,0
19762,0,1,1,其它,一线,3,744.72,拼团盛放,0
19763,1,0,0,电脑,二线,10,56.71,情侣花享,0
19764,1,0,1,手机,二线,6,68.41,拼团盛放,0
19765,1,0,1,电脑,一线,5,29.99,情侣花享,0
19766,0,1,0,手机,一线,5,341.54,没有促销,0
19767,0,1,1,手机,一线,1,623.44,没有促销,0
19768,0,1,1,手机,一线,6,30.96,没有促销,0
19769,1,1,0,手机,二线,4,494.75,情侣花享,1
19770,1,0,1,手机,一线,2,173.96,没有促销,0
19771,0,1,0,电脑,二线,2,105.48,拼团盛放,0
19772,1,0,1,手机,二线,8,524.63,情侣花享,0
19773,0,1,1,手机,一线,9,124.81,情侣花享,0
19774,1,0,0,其它,中小,4,371.45,没有促销,0
19775,0,1,0,电脑,一线,9,382.64,情侣花享,0
19776,1,1,0,其它,一线,3,202.22,拼团盛放,0
19777,0,1,0,电脑,一线,10,210.85,情侣花享,0
19778,1,0,0,手机,中小,7,121.05,拼团盛放,0
19779,1,1,1,其它,二线,12,260.57,情侣花享,1
19780,0,1,0,电脑,一线,2,192.58,拼团盛放,0
19781,1,1,0,手机,二线,10,240.32,拼团盛放,0
19782,1,0,1,手机,二线,6,102.21,没有促销,0
19783,0,1,0,手机,中小,11,91.22,情侣花享,0
19784,0,1,0,电脑,二线,7,449.64,没有促销,1
19785,1,0,1,手机,一线,1,218.99,没有促销,0
19786,1,0,0,电脑,二线,2,185.85,拼团盛放,0
19787,0,1,0,电脑,中小,2,445.73,拼团盛放,0
19788,0,1,0,电脑,一线,10,211.18,拼团盛放,0
19789,1,0,1,手机,一线,2,875.39,拼团盛放,0
19790,0,1,1,手机,中小,10,141.74,没有促销,0
19791,1,0,1,手机,一线,3,29.99,情侣花享,0
19792,1,0,1,电脑,二线,10,209.46,没有促销,0
19793,0,1,1,电脑,一线,9,48.01,拼团盛放,0
19794,1,1,1,电脑,二线,7,968.65,拼团盛放,0
19795,0,1,0,电脑,二线,4,52.89,没有促销,0
19796,0,1,0,手机,中小,7,378.36,拼团盛放,0
19797,1,0,1,手机,中小,8,73.73,拼团盛放,0
19798,0,1,1,电脑,中小,9,657.42,情侣花享,0
19799,1,0,1,手机,二线,1,50.36,情侣花享,0
19800,1,1,1,电脑,二线,5,640.63,没有促销,0
19801,0,1,0,电脑,二线,8,119.66,情侣花享,0
19802,0,1,0,电脑,二线,8,29.99,情侣花享,0
19803,1,0,1,电脑,二线,1,603.28,拼团盛放,0
19804,1,0,0,电脑,中小,1,67.48,拼团盛放,0
19805,0,1,1,其它,中小,4,770.38,没有促销,0
19806,0,1,0,电脑,一线,3,437.68,拼团盛放,0
19807,1,0,0,手机,一线,4,157.02,没有促销,0
19808,0,1,1,手机,二线,1,300.37,情侣花享,0
19809,0,1,1,手机,一线,11,102.03,情侣花享,0
19810,1,0,0,电脑,二线,8,95.96,拼团盛放,0
19811,1,0,0,电脑,二线,11,29.99,没有促销,0
19812,1,0,0,电脑,中小,8,340.78,拼团盛放,0
19813,0,1,1,电脑,二线,12,116.92,情侣花享,0
19814,1,0,1,电脑,一线,7,273.41,情侣花享,0
19815,1,0,0,电脑,一线,3,55.73,没有促销,0
19816,0,1,1,电脑,中小,2,530.16,没有促销,0
19817,1,0,1,手机,一线,8,126.95,拼团盛放,0
19818,1,0,1,电脑,二线,6,107.86,拼团盛放,0
19819,0,1,0,电脑,二线,10,106.04,没有促销,0
19820,1,0,1,其它,一线,2,559.63,没有促销,0
19821,1,0,0,电脑,中小,2,127.51,拼团盛放,0
19822,1,0,1,电脑,一线,2,73.1,拼团盛放,1
19823,1,0,0,电脑,二线,2,125.67,拼团盛放,0
19824,1,0,0,电脑,一线,1,288.21,情侣花享,1
19825,0,1,0,手机,一线,10,278.38,没有促销,0
19826,1,0,1,其它,二线,6,721.22,没有促销,0
19827,0,1,0,手机,中小,2,29.99,没有促销,1
19828,1,0,0,电脑,一线,5,163.07,拼团盛放,0
19829,1,0,0,电脑,一线,6,373.8,没有促销,0
19830,1,0,0,其它,二线,6,229.41,情侣花享,0
19831,1,0,1,电脑,一线,1,29.99,没有促销,0
19832,0,1,1,手机,一线,2,85.11,没有促销,0
19833,1,0,1,电脑,一线,1,319.37,没有促销,1
19834,1,1,1,手机,一线,1,695.88,没有促销,0
19835,1,1,1,其它,一线,10,492.11,情侣花享,0
19836,1,0,1,手机,二线,12,77.34,情侣花享,0
19837,1,0,1,手机,二线,3,53.57,拼团盛放,0
19838,0,1,1,电脑,一线,1,376,拼团盛放,0
19839,1,0,1,手机,一线,3,182.47,拼团盛放,0
19840,0,1,0,其它,一线,1,375.85,没有促销,0
19841,1,0,1,手机,一线,10,29.99,没有促销,0
19842,1,1,0,手机,二线,4,448.34,拼团盛放,1
19843,0,1,1,电脑,一线,4,56.78,没有促销,0
19844,1,0,0,手机,中小,5,29.99,拼团盛放,0
19845,1,0,0,电脑,二线,1,29.99,没有促销,0
19846,1,0,1,电脑,一线,6,183.3,拼团盛放,0
19847,0,1,1,手机,二线,2,33.45,拼团盛放,0
19848,1,0,0,电脑,二线,12,106.99,没有促销,0
19849,0,1,1,电脑,二线,1,209.03,拼团盛放,1
19850,0,1,1,电脑,中小,9,110.15,情侣花享,0
19851,0,1,1,手机,一线,9,651.19,没有促销,0
19852,1,0,1,电脑,二线,3,29.99,拼团盛放,0
19853,1,0,1,电脑,中小,4,159.19,情侣花享,0
19854,0,1,1,电脑,一线,10,43.94,没有促销,0
19855,0,1,1,手机,一线,7,30.28,拼团盛放,0
19856,1,0,0,电脑,中小,11,29.99,情侣花享,0
19857,1,0,0,手机,二线,2,29.99,拼团盛放,0
19858,1,1,1,其它,一线,6,258.59,没有促销,0
19859,1,1,1,手机,二线,8,519.18,拼团盛放,0
19860,1,0,0,手机,中小,9,84.64,没有促销,0
19861,1,1,0,电脑,一线,4,486.56,拼团盛放,1
19862,1,1,0,电脑,中小,4,483.93,拼团盛放,0
19863,1,0,1,其它,一线,11,369.1,情侣花享,1
19864,1,0,1,电脑,一线,7,51.08,没有促销,0
19865,0,1,1,手机,二线,4,121.6,没有促销,0
19866,0,1,1,电脑,一线,8,29.99,情侣花享,0
19867,0,1,1,电脑,二线,3,29.99,情侣花享,0
19868,1,1,1,其它,二线,1,691.7,情侣花享,1
19869,0,1,0,手机,二线,11,214.42,情侣花享,0
19870,1,1,1,手机,中小,12,411.31,没有促销,0
19871,0,1,0,电脑,二线,1,393.84,没有促销,0
19872,1,0,1,其它,二线,9,206.31,情侣花享,0
19873,0,1,0,手机,一线,8,306.86,没有促销,0
19874,1,0,1,手机,中小,10,288.02,拼团盛放,0
19875,1,1,1,手机,一线,1,666.27,拼团盛放,0
19876,1,0,1,电脑,中小,3,85.56,拼团盛放,1
19877,0,1,0,电脑,二线,9,186.61,没有促销,0
19878,0,1,0,其它,中小,1,357.41,没有促销,0
19879,1,0,1,手机,一线,5,416.13,没有促销,0
19880,1,1,0,电脑,一线,3,480.78,情侣花享,0
19881,0,1,1,电脑,一线,8,557.68,情侣花享,0
19882,0,1,1,电脑,二线,6,58.47,没有促销,0
19883,1,1,1,其它,中小,1,930.77,没有促销,0
19884,1,0,0,手机,一线,9,368.26,没有促销,0
19885,1,0,0,电脑,二线,4,256.16,拼团盛放,0
19886,1,0,0,手机,二线,10,276.17,没有促销,1
19887,0,1,0,手机,中小,5,190.84,没有促销,0
19888,1,0,1,电脑,中小,10,190.88,拼团盛放,0
19889,1,0,0,其它,中小,8,223.18,没有促销,0
19890,1,0,1,其它,中小,1,712.52,拼团盛放,0
19891,1,1,0,其它,一线,2,325.89,情侣花享,0
19892,1,0,0,手机,二线,2,29.99,没有促销,0
19893,0,1,1,其它,中小,1,224.07,拼团盛放,0
19894,0,1,0,手机,一线,8,58.28,情侣花享,0
19895,1,0,0,手机,二线,3,169.04,拼团盛放,0
19896,1,0,1,其它,二线,5,231.98,拼团盛放,0
19897,1,0,1,电脑,二线,11,29.99,拼团盛放,0
19898,1,0,0,电脑,二线,1,29.99,拼团盛放,1
19899,0,1,1,电脑,二线,6,153.53,情侣花享,1
19900,0,1,0,电脑,一线,8,29.99,情侣花享,0
19901,0,1,0,电脑,二线,3,36.24,拼团盛放,0
19902,0,1,1,电脑,二线,8,153.64,情侣花享,0
19903,0,1,0,电脑,二线,2,471.82,没有促销,0
19904,1,0,0,手机,二线,10,29.99,情侣花享,0
19905,1,0,0,电脑,二线,10,29.99,拼团盛放,0
19906,1,0,0,电脑,一线,10,129.14,情侣花享,0
19907,0,1,0,手机,二线,6,497.66,情侣花享,0
19908,0,1,1,电脑,一线,12,29.99,拼团盛放,0
19909,1,0,0,电脑,中小,10,44.84,情侣花享,1
19910,1,0,1,手机,二线,3,29.99,情侣花享,0
19911,0,1,0,电脑,二线,4,165.91,拼团盛放,1
19912,0,1,0,手机,中小,3,29.99,没有促销,0
19913,0,1,0,手机,一线,2,110.05,情侣花享,1
19914,0,1,1,手机,二线,10,29.99,情侣花享,0
19915,1,0,0,手机,二线,5,98.82,情侣花享,0
19916,1,0,0,手机,中小,3,212.28,情侣花享,0
19917,0,1,0,手机,中小,2,47.69,没有促销,0
19918,0,1,0,手机,一线,1,80.13,没有促销,0
19919,1,0,1,手机,中小,9,129.57,拼团盛放,0
19920,1,1,1,其它,一线,1,238.86,拼团盛放,0
19921,1,0,1,手机,中小,5,152.41,没有促销,1
19922,0,1,1,手机,一线,12,29.99,没有促销,0
19923,1,0,1,电脑,一线,8,620.74,情侣花享,0
19924,1,0,0,电脑,二线,2,468.48,没有促销,0
19925,0,1,0,电脑,二线,8,159.82,没有促销,0
19926,0,1,1,其它,二线,4,201.53,情侣花享,0
19927,1,0,1,手机,中小,3,62.8,拼团盛放,0
19928,0,1,1,电脑,一线,7,267.45,情侣花享,0
19929,0,1,1,手机,二线,10,228.16,没有促销,0
19930,0,1,1,其它,二线,1,573.98,拼团盛放,0
19931,0,1,1,电脑,一线,5,114.81,没有促销,0
19932,0,1,0,电脑,二线,8,156.37,拼团盛放,0
19933,0,1,0,电脑,二线,7,76.39,拼团盛放,0
19934,1,0,0,手机,一线,2,29.99,拼团盛放,0
19935,0,1,0,手机,中小,4,79.36,没有促销,0
19936,0,1,1,电脑,一线,9,842.84,没有促销,0
19937,0,1,1,手机,一线,1,29.99,拼团盛放,0
19938,0,1,1,电脑,二线,9,29.99,没有促销,0
19939,1,0,1,手机,一线,5,175.61,情侣花享,0
19940,0,1,1,电脑,二线,10,93.46,情侣花享,0
19941,1,1,0,电脑,二线,2,346.96,情侣花享,0
19942,1,0,1,手机,二线,2,669.58,拼团盛放,1
19943,1,0,0,手机,二线,1,49.16,拼团盛放,0
19944,1,1,0,其它,中小,1,371.63,拼团盛放,0
19945,0,1,0,手机,二线,7,40.4,拼团盛放,0
19946,0,1,0,电脑,二线,1,65.3,情侣花享,0
19947,1,1,1,其它,一线,1,641.43,情侣花享,1
19948,0,1,0,手机,二线,11,311.82,拼团盛放,1
19949,0,1,0,电脑,一线,11,358.76,情侣花享,0
19950,0,1,1,电脑,二线,6,179.79,情侣花享,0
19951,1,0,1,电脑,一线,1,29.99,情侣花享,0
19952,1,0,1,其它,二线,1,676.78,拼团盛放,0
19953,0,1,0,手机,二线,9,29.99,拼团盛放,1
19954,0,1,1,电脑,二线,1,88.73,拼团盛放,0
19955,1,0,0,手机,一线,9,82.12,情侣花享,1
19956,1,1,1,手机,一线,3,1306.69,情侣花享,0
19957,0,1,1,电脑,一线,10,29.99,拼团盛放,0
19958,0,1,1,手机,二线,3,29.99,没有促销,0
19959,0,1,0,手机,二线,2,180.07,没有促销,0
19960,0,1,1,手机,二线,6,29.99,拼团盛放,0
19961,1,0,0,手机,二线,8,157.31,情侣花享,0
19962,0,1,1,电脑,中小,10,49.16,没有促销,0
19963,1,0,0,电脑,二线,10,303.79,没有促销,1
19964,0,1,1,电脑,二线,1,29.99,没有促销,0
19965,0,1,0,手机,二线,5,222.07,拼团盛放,0
19966,1,0,1,其它,一线,10,886.83,拼团盛放,0
19967,1,0,1,电脑,一线,9,214.46,情侣花享,0
19968,0,1,1,其它,一线,1,595.19,没有促销,0
19969,0,1,0,手机,一线,9,137.44,没有促销,0
19970,0,1,0,电脑,二线,4,109.16,情侣花享,0
19971,0,1,1,电脑,一线,10,110.7,拼团盛放,0
19972,1,1,1,电脑,二线,10,822.57,拼团盛放,0
19973,0,1,1,电脑,一线,9,127.42,拼团盛放,0
19974,0,1,0,手机,中小,8,50.42,拼团盛放,0
19975,0,1,0,电脑,二线,6,41.39,情侣花享,0
19976,0,1,1,其它,二线,5,515.93,情侣花享,0
19977,1,0,0,电脑,中小,8,29.99,没有促销,0
19978,0,1,0,电脑,一线,10,156.34,没有促销,0
19979,0,1,0,电脑,中小,3,410.51,情侣花享,0
19980,1,0,1,手机,一线,7,221.92,拼团盛放,0
19981,1,0,1,手机,一线,1,210.57,没有促销,0
19982,0,1,0,电脑,一线,5,108.24,情侣花享,0
19983,1,0,1,手机,一线,11,348.65,拼团盛放,0
19984,1,0,0,手机,一线,7,222.58,拼团盛放,0
19985,1,0,0,手机,二线,1,68.54,拼团盛放,1
19986,1,0,0,手机,一线,3,439.46,情侣花享,1
19987,1,0,1,手机,二线,12,104.35,情侣花享,0
19988,1,0,0,电脑,二线,10,119.63,没有促销,0
19989,1,0,0,电脑,二线,5,364.27,情侣花享,0
19990,1,0,0,手机,二线,1,147.92,拼团盛放,0
19991,0,1,0,手机,一线,1,94.75,情侣花享,0
19992,1,0,1,电脑,二线,2,45.08,情侣花享,0
19993,1,0,1,手机,一线,9,158.12,拼团盛放,0
19994,0,1,1,电脑,中小,7,29.99,没有促销,0
19995,1,0,0,电脑,一线,4,65.04,情侣花享,0
19996,1,0,1,其它,一线,2,436.92,拼团盛放,0
19997,1,0,1,手机,中小,9,58.16,情侣花享,0
19998,1,0,0,电脑,一线,9,104.31,没有促销,0
19999,1,1,0,其它,一线,2,318.52,拼团盛放,0
20000,1,0,1,电脑,一线,3,163.65,拼团盛放,1
20001,0,1,1,手机,一线,11,38.71,没有促销,0
20002,1,0,0,电脑,一线,11,35.35,拼团盛放,0
20003,1,0,1,电脑,二线,3,133.41,情侣花享,1
20004,1,0,1,手机,二线,4,123.01,拼团盛放,1
20005,1,0,0,手机,二线,1,49.35,拼团盛放,1
20006,1,0,1,其它,一线,1,528.6,没有促销,0
20007,1,1,1,其它,二线,1,912.63,拼团盛放,0
