用户码,性别,年龄,城市,入会月数,会员类型,活跃用户,会员积分,总消费,年收入,裂变方案,是否转化
927,男,52,杭州,2,1,0,524,33250.36,108109.9398,买一送一,1
928,女,35,苏州,4,1,0,696,13208.38,215129.7798,买一送一,0
929,女,29,杭州,2,2,0,800,32079.07,0,疯狂打折,0
930,男,33,苏州,9,2,0,687,23278.76,167233.752,买一送一,0
931,男,42,杭州,5,1,0,803,37565.35,0,买一送一,1
932,女,28,杭州,2,2,1,850,7413.71,0,买一送一,0
933,女,32,苏州,1,1,1,654,24119.16,140848.3455,买一送一,0
934,男,37,杭州,8,2,1,530,55.06,0,买一送一,0
935,女,42,杭州,7,2,1,649,4392.73,0,疯狂打折,0
936,男,38,扬州,2,3,0,651,12816.4,0,买一送一,1
937,女,40,苏州,4,2,0,850,20399.81,120528.3027,疯狂打折,0
938,男,42,苏州,3,1,1,633,2255.61,155030.4546,疯狂打折,0
939,男,42,杭州,3,1,0,624,13799.22,178541.1051,买一送一,1
940,男,49,杭州,1,2,0,614,36795.51,0,买一送一,0
941,男,30,杭州,3,1,1,706,21132.02,121050.9051,买一送一,0
942,女,23,扬州,9,1,1,850,12042.24,175957.4655,疯狂打折,0
943,男,31,杭州,9,2,0,680,6911.19,0,买一送一,0
944,女,61,杭州,8,1,1,536,12296.07,80184.0567,买一送一,1
945,女,37,扬州,9,1,0,575,21257.18,163949.7135,买一送一,0
946,女,64,苏州,2,2,1,531,11610.21,216178.4901,买一送一,0
947,女,59,苏州,8,2,0,645,17.54,149654.0139,疯狂打折,1
948,男,20,扬州,3,2,1,714,28769.77,0,疯狂打折,0
949,男,36,杭州,8,1,0,745,25007.57,82688.4351,买一送一,0
950,男,39,苏州,1,1,1,703,5976.5,174118.185,买一送一,1
951,女,41,苏州,5,1,0,639,38235.32,121321.9971,买一送一,0
952,男,33,扬州,4,1,0,751,22475.67,97516.3803,买一送一,0
953,女,41,扬州,4,2,1,634,31462.66,0,买一送一,0
954,男,36,扬州,8,2,0,711,10555.91,0,买一送一,0
955,男,43,杭州,7,2,1,590,34919.16,99724.464,买一送一,1
956,女,27,杭州,8,1,1,635,29238.25,156790.0188,买一送一,1
957,女,45,扬州,9,3,0,505,37360.48,161567.019,买一送一,1
958,女,37,扬州,1,2,0,803,1425.46,0,疯狂打折,0
959,女,38,扬州,10,2,0,594,11153.52,0,买一送一,0
960,女,58,杭州,3,1,1,707,21925.93,125886.6378,买一送一,0
961,男,30,杭州,6,1,1,535,24036.43,127680.1131,买一送一,0
962,女,41,杭州,6,1,0,703,22230.83,135228.0573,买一送一,0
963,女,23,扬州,6,2,1,624,37603.92,0,疯狂打折,0
964,男,46,苏州,10,3,0,652,28964.02,148908.474,买一送一,1
965,男,28,苏州,8,2,0,709,27772.72,153375.7356,买一送一,0
966,男,50,杭州,4,1,0,614,24314.81,168638.4981,买一送一,1
967,男,30,杭州,6,2,0,509,34531.33,0,买一送一,0
968,男,37,苏州,7,2,1,849,3306.71,176446.8702,买一送一,0
969,女,48,扬州,8,2,0,712,35035.43,0,买一送一,0
970,男,69,杭州,7,1,1,849,26590.04,88555.1907,买一送一,0
971,女,24,扬州,5,1,1,523,29664.26,211845.2739,疯狂打折,0
972,女,36,扬州,7,1,1,621,29778.86,143096.5764,买一送一,0
973,男,52,扬州,8,2,1,619,23564.45,0,买一送一,0
974,女,48,苏州,7,2,0,602,24301.17,94211.9484,疯狂打折,0
975,男,40,苏州,9,2,0,619,26949.72,127433.3013,疯狂打折,0
976,男,45,杭州,6,1,0,444,24858.47,0,买一送一,1
977,男,35,扬州,9,1,0,683,15860.63,75241.6092,疯狂打折,0
978,女,21,杭州,4,2,0,747,32061.67,99661.488,买一送一,0
979,男,33,杭州,8,2,0,802,27477.28,0,买一送一,0
980,男,37,杭州,9,1,0,715,16307.13,203260.5996,买一送一,0
981,女,38,杭州,1,2,1,567,20619.84,154829.5095,买一送一,0
982,男,45,扬州,4,2,1,668,30282.83,126058.0383,买一送一,0
983,女,48,杭州,2,2,1,678,6176.26,0,买一送一,0
984,男,38,苏州,9,2,1,733,37260.6,136957.2651,疯狂打折,0
985,女,31,扬州,8,2,1,695,25171.01,0,疯狂打折,0
986,男,26,杭州,8,2,0,610,31745.9,0,买一送一,0
987,女,30,扬州,5,2,0,676,34238.35,0,疯狂打折,0
988,女,40,杭州,5,2,0,707,7849.48,0,买一送一,0
989,男,36,杭州,8,1,0,693,11227.46,219077.5386,疯狂打折,1
990,男,38,杭州,3,1,0,553,35930.34,122808.9564,疯狂打折,0
991,男,39,杭州,3,2,0,539,28233.71,171159.0264,买一送一,0
992,女,37,杭州,1,2,1,584,34486.34,0,买一送一,0
993,男,59,杭州,3,2,0,567,4941.43,0,买一送一,1
994,女,58,扬州,4,1,0,682,33658.89,0,买一送一,0
995,男,49,杭州,8,1,0,584,21770.7,212437.5312,买一送一,0
996,女,42,苏州,3,1,1,464,31377.57,105385.4775,买一送一,0
997,男,41,苏州,8,1,1,521,3918,148321.4442,疯狂打折,0
998,男,39,苏州,2,2,0,616,10622.61,149696.3136,买一送一,0
999,男,40,杭州,4,2,0,759,23827.07,0,买一送一,0
1000,女,26,杭州,7,2,0,555,17805.43,0,买一送一,0
1001,男,42,杭州,7,2,1,596,23244.43,0,买一送一,0
1002,女,35,苏州,5,1,1,847,35102.13,137444.4189,买一送一,0
1003,男,36,扬州,0,1,1,606,22970.98,115808.8788,疯狂打折,0
1004,女,45,扬州,2,1,0,546,37818.32,0,疯狂打折,1
1005,男,38,杭州,9,1,0,755,15375.93,183162.3012,买一送一,0
1006,男,43,扬州,6,1,0,501,15511.2,128575.8852,疯狂打折,1
1007,女,26,扬州,3,2,0,731,7207.89,0,买一送一,0
1008,男,31,扬州,0,2,1,794,33583.83,178202.8182,疯狂打折,0
1009,男,27,苏州,7,1,0,769,32761.77,231995.3061,买一送一,0
1010,女,29,扬州,5,2,0,517,19771.1,0,买一送一,0
1011,男,33,扬州,3,2,0,704,13961.51,0,买一送一,0
1012,男,68,扬州,4,1,1,706,5468.77,140695.8255,买一送一,0
1013,男,37,扬州,9,3,1,592,2037.64,0,买一送一,0
1014,女,18,杭州,1,1,1,681,1834.87,121640.0997,买一送一,0
1015,男,33,杭州,8,2,1,563,13157.75,0,疯狂打折,0
1016,男,39,杭州,7,1,1,605,22819.93,0,疯狂打折,0
1017,男,33,杭州,7,1,0,850,671.16,173377.0977,疯狂打折,0
1018,男,41,杭州,2,2,1,765,36561.3,0,疯狂打折,0
1019,女,33,苏州,2,1,1,564,21481.87,142386.6573,疯狂打折,1
1020,男,41,苏州,2,1,0,645,23705.95,115528.119,买一送一,1
1021,男,26,苏州,5,1,0,651,27105.78,180855.9036,疯狂打折,0
1022,男,33,杭州,8,1,0,587,23503.9,182241.1911,疯狂打折,0
1023,男,38,杭州,8,1,1,544,18777.93,0,买一送一,0
1024,男,38,扬州,8,2,1,706,8916.84,0,疯狂打折,0
1025,女,40,苏州,3,2,0,712,22974.89,134449.8117,买一送一,1
1026,女,44,杭州,5,2,0,627,15864.17,0,买一送一,1
1027,女,46,扬州,5,1,0,610,20645.01,143770.5057,疯狂打折,0
1028,女,75,扬州,5,2,1,710,1792.9,0,买一送一,0
1029,女,67,扬州,1,2,1,732,33992.93,0,买一送一,0
1030,男,27,扬州,8,2,0,598,20897.93,111587.4696,买一送一,0
1031,男,31,扬州,2,2,0,675,11524.06,111716.3121,买一送一,0
1032,女,44,扬州,6,1,1,768,34043.2,74542.182,买一送一,0
1033,女,39,杭州,9,2,0,458,22245.33,0,买一送一,0
1034,女,59,杭州,6,1,0,525,15935.51,68053.932,买一送一,1
1035,男,36,苏州,5,2,0,585,16524.77,179642.6931,疯狂打折,0
1036,男,34,杭州,8,1,0,712,17742.75,140328.6336,买一送一,0
1037,女,44,苏州,2,2,1,498,18771.65,148464.2841,买一送一,0
1038,女,46,杭州,4,2,0,493,364.75,0,买一送一,0
1039,男,34,苏州,3,1,1,608,7005.59,130734.9042,买一送一,0
1040,男,23,杭州,5,2,1,755,12017.51,103669.9104,买一送一,0
1041,男,38,苏州,2,1,1,634,10718.11,182569.5765,买一送一,0
1042,男,52,扬州,2,2,0,773,10963.24,0,买一送一,0
1043,男,46,扬州,8,1,0,790,26628.39,224308.3719,疯狂打折,1
1044,男,38,扬州,0,1,0,565,12875.59,150610.7448,疯狂打折,0
1045,女,51,杭州,1,1,1,562,12502.95,153334.9242,买一送一,1
1046,女,36,杭州,6,1,0,707,18893.07,0,疯狂打折,0
1047,女,38,杭州,2,2,0,586,16667,0,买一送一,0
1048,男,33,杭州,1,1,0,711,7952.27,0,疯狂打折,0
1049,女,41,杭州,6,1,1,788,4889.36,0,买一送一,0
1050,男,32,杭州,1,1,1,727,8799.12,72904.3386,买一送一,0
1051,女,34,苏州,7,1,0,679,10895.71,148908.5355,买一送一,0
1052,女,61,杭州,6,1,1,570,8645.13,174789.5805,买一送一,0
1053,女,39,杭州,4,2,1,698,9073.77,0,疯狂打折,0
1054,男,33,扬州,3,2,0,708,26503.48,0,买一送一,0
1055,男,38,杭州,5,2,0,801,12668.5,0,买一送一,0
1056,男,45,杭州,6,1,1,645,659.5,191163.6603,疯狂打折,0
1057,女,53,杭州,7,2,1,534,15414.75,0,买一送一,0
1058,男,33,杭州,4,2,1,520,31759.58,192246.0234,买一送一,0
1059,男,42,杭州,3,1,1,566,30112.06,132853.2594,买一送一,0
1060,男,50,苏州,10,1,1,809,19258.13,145261.3026,买一送一,1
1061,男,45,杭州,2,1,1,500,24119.51,134270.2686,买一送一,0
1062,男,40,杭州,7,1,0,844,6100.25,139418.2122,买一送一,1
1063,女,24,扬州,5,2,0,705,15274.58,218693.7909,疯狂打折,0
1064,女,22,苏州,6,1,1,631,12188.81,171129.8016,买一送一,0
1065,女,31,杭州,3,2,1,841,24243.7,200123.0295,买一送一,0
1066,女,55,扬州,1,1,1,645,3268.73,164422.2795,疯狂打折,0
1067,男,43,扬州,8,1,0,577,25937.04,98101.3683,买一送一,1
1068,女,32,苏州,8,1,1,569,25246.39,178756.4289,买一送一,0
1069,女,43,杭州,9,2,0,755,3454.43,0,买一送一,0
1070,男,41,苏州,2,2,1,581,8452.38,157333.8633,买一送一,0
1071,女,22,扬州,4,1,1,794,20602.88,140761.4952,买一送一,0
1072,男,47,扬州,0,1,1,792,1062.69,0,买一送一,1
1073,男,35,杭州,5,1,0,543,11929.13,169103.0937,疯狂打折,0
1074,女,47,苏州,4,1,1,604,9135.21,146256.348,疯狂打折,1
1075,男,20,杭州,7,2,0,658,35877.31,0,疯狂打折,0
1076,男,34,杭州,2,2,0,760,31388.61,0,买一送一,0
1077,男,40,杭州,6,2,1,722,21394.47,0,买一送一,0
1078,男,44,苏州,0,2,1,680,6384.58,159868.9917,买一送一,0
1079,女,54,杭州,9,1,0,648,1132.76,148379.1066,疯狂打折,1
1080,男,28,苏州,6,1,0,579,27831.43,184904.8545,买一送一,0
1081,女,63,杭州,5,1,0,637,5371.46,0,买一送一,1
1082,女,33,杭州,4,2,1,696,14028.99,0,买一送一,0
1083,男,41,苏州,0,1,1,701,24402.17,185539.2762,疯狂打折,0
1084,男,36,杭州,1,1,0,679,36137.1,119598.5334,买一送一,0
1085,女,28,苏州,4,2,1,811,1893.57,206318.7486,买一送一,0
1086,女,39,苏州,0,1,0,668,21595.92,150188.8917,买一送一,1
1087,男,34,扬州,5,1,0,638,19537.25,180416.1171,买一送一,0
1088,女,42,杭州,6,2,0,641,23162.28,0,疯狂打折,0
1089,女,46,杭州,10,2,0,475,23509.17,0,疯狂打折,1
1090,女,45,苏州,4,1,1,616,11855.07,151036.5708,买一送一,0
1091,女,23,苏州,6,1,0,626,20983.32,105654.4785,买一送一,0
1092,男,46,扬州,6,2,0,611,8773.67,0,买一送一,0
1093,男,31,杭州,5,1,0,724,25791.57,0,买一送一,1
1094,女,42,杭州,1,2,0,633,10872.96,0,买一送一,0
1095,男,59,杭州,7,2,1,602,31041.5,0,买一送一,0
1096,女,61,杭州,2,1,1,556,18002.64,144425.8005,买一送一,0
1097,女,22,扬州,8,1,1,575,6576.87,129432.0882,买一送一,0
1098,男,29,杭州,7,1,1,534,15139.25,215067.837,买一送一,0
1099,男,36,杭州,9,1,1,746,29770.58,156403.1592,买一送一,0
1100,男,29,苏州,9,2,0,688,27429.24,177800.805,买一送一,0
1101,男,29,杭州,8,1,0,757,14812.5,160276.9827,买一送一,0
1102,男,28,杭州,9,2,1,724,19166.38,0,买一送一,0
1103,男,28,杭州,7,2,0,561,1490.82,0,买一送一,0
1104,男,36,扬州,8,2,0,484,35590.14,0,买一送一,0
1105,男,34,苏州,8,2,1,520,65.65,147623.1978,买一送一,0
1106,男,42,杭州,5,1,0,677,4016.81,122483.5599,买一送一,0
1107,女,34,苏州,9,1,0,715,34006.22,125801.3496,疯狂打折,1
1108,男,43,杭州,1,1,1,619,21684.6,154010.6616,买一送一,0
1109,男,32,杭州,8,1,0,601,16626.65,114405.8547,买一送一,0
1110,男,38,杭州,8,1,1,414,14849.16,0,疯狂打折,1
1111,女,35,杭州,2,1,0,718,8226.5,206547.6885,买一送一,0
1112,男,34,苏州,0,2,1,706,14774.74,172988.7498,买一送一,0
1113,男,37,杭州,4,2,0,680,11709.53,0,买一送一,0
1114,女,18,杭州,4,1,0,570,13730.76,101803.9266,买一送一,0
1115,女,24,扬州,3,2,1,688,19540.18,0,买一送一,0
1116,男,68,苏州,2,1,1,557,7379.79,123239.1612,买一送一,0
1117,女,29,扬州,9,2,0,699,31502.25,156912.2439,买一送一,0
1118,女,46,杭州,0,2,1,698,24084.51,0,买一送一,0
1119,女,49,苏州,4,2,0,601,19935.72,118391.1654,买一送一,0
1120,男,37,杭州,2,1,0,722,23117.94,0,疯狂打折,0
1121,女,37,杭州,5,2,0,662,29038.59,0,买一送一,0
1122,女,32,扬州,8,2,0,763,3197.99,0,买一送一,0
1123,男,28,杭州,7,2,1,699,4337.43,0,买一送一,0
1124,女,32,杭州,1,2,1,510,5452.23,0,疯狂打折,0
1125,男,58,苏州,7,2,1,710,2006.62,209238.99,疯狂打折,0
1126,男,36,杭州,7,1,1,533,29967.86,104933.391,疯狂打折,0
1127,女,24,杭州,3,1,1,733,1838.86,199118.5377,买一送一,0
1128,男,30,杭州,4,1,0,543,30155.1,173327.6763,买一送一,0
1129,女,24,杭州,0,2,0,677,34973.98,182407.2657,疯狂打折,0
1130,女,44,杭州,2,1,1,535,26066.97,140746.2678,买一送一,0
1131,男,40,苏州,2,2,0,755,33798.96,169039.9086,疯狂打折,0
1132,女,36,苏州,3,1,0,628,12062.32,112282.4073,买一送一,0
1133,女,49,杭州,2,1,0,699,20221.79,0,疯狂打折,0
1134,男,43,扬州,2,1,1,579,37935.44,179387.8986,买一送一,1
1135,男,31,杭州,8,2,1,600,23241.97,0,买一送一,0
1136,男,38,苏州,8,1,0,535,11620.6,156794.5452,疯狂打折,1
1137,男,23,扬州,8,2,0,578,21438.81,0,买一送一,0
1138,男,41,扬州,8,2,1,598,30966.43,0,买一送一,0
1139,女,35,杭州,3,1,1,612,9198.6,0,买一送一,0
1140,男,35,杭州,4,2,0,492,7556.31,173872.0251,买一送一,0
1141,男,37,杭州,8,2,1,743,20225.65,85047.0093,疯狂打折,0
1142,女,35,杭州,4,1,1,547,25485.22,0,买一送一,0
1143,女,67,扬州,8,2,1,771,9793.46,0,买一送一,0
1144,男,38,杭州,6,1,0,681,19372.8,189078.6381,买一送一,0
1145,女,53,扬州,6,1,1,663,28932.55,184746.2829,疯狂打折,1
1146,男,92,杭州,1,2,1,705,6584.47,155073.7752,买一送一,0
1147,男,34,杭州,5,1,1,748,26195.23,103331.6481,买一送一,0
1148,女,31,杭州,9,2,0,668,7895.16,0,疯狂打折,0
1149,女,25,杭州,8,2,1,651,24237.32,0,买一送一,0
1150,男,73,杭州,0,1,1,627,8339.51,179985.5679,疯狂打折,0
1151,男,37,苏州,3,2,0,723,23181.57,116433.6819,买一送一,0
1152,男,58,杭州,4,1,0,599,33729.85,0,疯狂打折,1
1153,男,30,苏州,3,1,1,685,12061.73,111360.2763,疯狂打折,0
1154,女,29,杭州,8,2,0,529,3793.9,0,买一送一,0
1155,女,44,扬州,8,1,1,692,30414.79,0,疯狂打折,0
1156,男,30,扬州,6,2,1,776,12219.66,0,疯狂打折,0
1157,女,42,杭州,10,2,0,602,32489.69,0,疯狂打折,1
1158,男,29,杭州,1,1,1,744,22816.01,53510.4366,买一送一,0
1159,女,23,杭州,5,1,1,534,30626.47,128931.6135,疯狂打折,0
1160,女,31,杭州,6,1,0,628,21638.08,215795.8125,买一送一,1
1161,男,45,杭州,9,1,1,695,14785.91,53055.6195,疯狂打折,0
1162,男,42,扬州,7,2,1,628,33072.25,0,疯狂打折,0
1163,女,28,苏州,3,2,0,700,28054.24,122637.9987,疯狂打折,0
1164,女,45,苏州,9,2,1,714,31380.05,130911.3231,买一送一,0
1165,女,33,苏州,7,1,0,850,21640.14,165654.0999,买一送一,0
1166,男,41,扬州,8,1,1,850,33527.2,163390.8261,买一送一,0
1167,男,30,扬州,6,4,0,596,8015.63,149255.4324,买一送一,1
1168,男,37,苏州,3,1,0,731,33024.54,143763.0519,疯狂打折,1
1169,女,43,扬州,5,1,1,728,22961.4,0,买一送一,0
1170,男,36,杭州,6,1,1,615,5164.78,0,买一送一,1
1171,男,34,苏州,8,2,1,710,298.58,181834.959,疯狂打折,0
1172,男,60,杭州,2,1,0,684,22993.82,143373.2034,买一送一,1
1173,女,42,杭州,9,2,1,647,9820.8,0,买一送一,0
1174,女,48,苏州,8,1,0,601,12225.75,148562.721,买一送一,1
1175,女,31,苏州,10,1,0,640,32212.17,145894.4082,买一送一,0
1176,女,22,杭州,7,1,1,719,33938.31,140731.4832,买一送一,0
1177,男,56,苏州,9,1,0,668,25697.25,136522.3617,买一送一,1
1178,女,45,苏州,3,1,1,514,29714.57,134109.6429,疯狂打折,1
1179,女,36,苏州,8,1,1,578,27472.99,159586.473,买一送一,0
1180,男,48,杭州,2,1,0,540,16960.42,134499.6267,买一送一,1
1181,男,31,杭州,2,2,1,582,6452.58,0,买一送一,0
1182,男,42,杭州,9,2,0,697,33397.25,163269.2898,疯狂打折,0
1183,男,67,扬州,3,1,1,580,1418.53,189353.7522,买一送一,0
1184,男,29,杭州,4,1,0,676,6925.65,173086.7439,买一送一,0
1185,男,30,杭州,3,2,0,545,32563.56,0,买一送一,0
1186,女,44,苏州,2,2,0,706,12507.34,228696.5814,买一送一,0
1187,男,28,苏州,7,2,1,799,21250.14,206219.7459,买一送一,0
1188,女,51,杭州,2,1,0,760,34343.17,124164.4533,疯狂打折,1
1189,女,67,杭州,3,1,1,640,8215.03,0,疯狂打折,0
1190,女,39,杭州,2,1,1,584,24426.31,138605.8587,买一送一,0
1191,女,35,杭州,6,1,1,668,10324.02,126053.7948,买一送一,0
1192,男,27,扬州,4,1,1,775,7802.53,0,买一送一,0
1193,女,37,杭州,9,2,1,667,12951.2,88297.887,买一送一,0
1194,男,42,苏州,7,1,0,782,7615.69,155506.9074,买一送一,0
1195,男,50,杭州,6,1,1,691,517.2,168452.7681,买一送一,0
1196,女,31,扬州,8,2,0,797,22546.2,0,买一送一,0
1197,女,48,苏州,7,1,1,707,34482.73,129256.6902,买一送一,1
1198,女,43,扬州,3,1,0,616,3587.36,148666.6314,买一送一,1
1199,男,57,杭州,10,2,1,501,9148.6,0,买一送一,0
1200,男,24,苏州,4,2,0,501,15342.47,160891.8966,买一送一,0
1201,女,31,杭州,3,1,0,639,4010.28,120982.8369,疯狂打折,0
1202,男,38,杭州,4,2,0,660,16841.38,0,疯狂打折,0
1203,女,42,苏州,2,1,0,580,19792.74,151697.5728,疯狂打折,1
1204,男,59,苏州,1,1,1,833,5874.28,160951.1457,买一送一,1
1205,男,70,扬州,3,2,1,731,26994.39,0,买一送一,0
1206,女,26,杭州,7,2,0,554,36846.97,113906.4378,买一送一,0
1207,男,32,扬州,9,2,0,774,2027.62,0,买一送一,0
1208,女,42,苏州,6,1,1,602,25217.29,194850.2655,买一送一,0
1209,女,44,苏州,2,1,0,545,20726.31,156869.8212,买一送一,0
1210,男,32,苏州,9,1,0,771,6337.1,95309.256,疯狂打折,0
1211,女,46,苏州,10,2,1,639,25620.57,135338.2407,买一送一,0
1212,男,31,扬州,7,2,1,685,34563.96,150612.6513,买一送一,0
1213,男,34,杭州,7,2,1,754,12470.33,0,买一送一,0
1214,女,28,扬州,5,2,1,711,17965.57,0,买一送一,0
1215,女,65,杭州,0,2,1,651,36415.68,0,买一送一,0
1216,男,51,杭州,8,2,1,673,32925.6,97862.9328,买一送一,0
1217,男,76,扬州,2,2,1,551,34745.45,157945.1733,买一送一,0
1218,男,31,苏州,2,2,1,579,3594.67,111373.4004,买一送一,0
1219,男,36,扬州,4,2,0,645,8412.93,73669.4355,买一送一,0
1220,男,37,杭州,5,2,1,427,23228.5,0,买一送一,0
1221,女,21,杭州,1,2,0,735,4280.68,219823.3737,买一送一,0
1222,女,33,扬州,9,1,1,560,35058.93,0,疯狂打折,0
1223,男,33,苏州,8,2,1,464,709.43,202070.2056,买一送一,0
1224,男,26,苏州,3,2,0,714,12520.63,147040.9404,买一送一,0
1225,女,29,杭州,3,2,0,711,6082.49,160123.2081,买一送一,0
1226,女,45,苏州,1,2,0,711,9676.98,119907.9645,买一送一,0
1227,女,49,苏州,0,1,1,723,34581.69,189242.2896,买一送一,1
1228,男,31,杭州,6,2,1,709,13577.4,0,买一送一,0
1229,男,34,杭州,5,2,1,723,2312.05,0,疯狂打折,0
1230,女,41,杭州,1,1,0,678,37595.08,176435.6403,买一送一,1
1231,男,36,扬州,3,2,1,574,1636.64,0,买一送一,0
1232,女,41,扬州,7,1,0,790,16592.04,134695.6764,疯狂打折,0
1233,男,35,扬州,6,2,0,506,5032.26,135357.7239,买一送一,0
1234,女,35,苏州,1,1,0,743,36196.5,180540.9252,买一送一,0
1235,女,32,杭州,0,1,0,590,19257.65,157148.7852,买一送一,0
1236,男,36,杭州,7,1,0,757,25021.4,178168.0338,疯狂打折,0
1237,男,49,杭州,5,1,1,850,11424.12,150658.3581,疯狂打折,0
1238,男,35,杭州,4,1,0,686,1685.73,0,买一送一,0
1239,女,43,苏州,1,2,0,458,19228.36,131450.2476,买一送一,0
1240,男,44,杭州,3,1,0,532,14309.49,182772.5265,买一送一,1
1241,女,27,杭州,1,1,0,682,31767.68,120408.636,买一送一,0
1242,男,37,杭州,5,1,0,650,4683.56,131569.6314,疯狂打折,0
1243,女,44,苏州,4,1,0,536,25049.17,149935.5486,疯狂打折,0
1244,女,34,杭州,4,1,1,708,12020.71,0,买一送一,0
1245,男,60,扬州,3,2,1,414,17943.56,0,买一送一,0
1246,女,29,杭州,3,3,0,779,24462.57,57057.4368,买一送一,1
1247,女,34,杭州,6,2,1,711,33520.14,0,买一送一,0
1248,女,39,杭州,6,1,1,481,4718.45,0,买一送一,0
1249,女,46,苏州,8,1,1,507,13446.21,126425.7468,买一送一,0
1250,男,47,苏州,5,1,0,544,19105.56,129451.6083,疯狂打折,1
1251,男,42,杭州,7,2,1,743,15378.28,94712.706,买一送一,0
1252,女,37,杭州,1,1,0,531,880.87,0,买一送一,0
1253,男,67,苏州,6,1,1,659,8617.79,144416.268,买一送一,1
1254,男,36,苏州,1,2,0,678,5280.89,144973.7655,买一送一,0
1255,女,23,杭州,5,2,0,525,30640.36,0,买一送一,0
1256,女,46,扬州,2,1,1,593,10411.8,94215.2817,买一送一,0
1257,女,44,苏州,2,2,1,684,9534.42,164545.5378,疯狂打折,0
1258,女,25,扬州,8,2,1,699,10019.97,0,买一送一,0
1259,男,30,杭州,2,2,0,528,9707.67,157763.1456,买一送一,0
1260,女,56,扬州,1,1,0,585,35655.24,158021.544,买一送一,1
1261,男,43,苏州,3,3,1,520,4843.79,185490.3591,疯狂打折,1
1262,男,34,杭州,8,1,0,418,29485.46,191847.8724,买一送一,0
1263,女,34,杭州,4,1,0,631,20438.41,152986.3422,买一送一,0
1264,女,35,杭州,7,2,0,586,13529.76,0,买一送一,0
1265,男,35,扬州,3,1,1,719,26430.53,151246.8024,买一送一,0
1266,男,60,杭州,9,1,1,694,10915.67,0,买一送一,0
1267,女,43,杭州,2,1,1,701,7125.51,197312.3688,疯狂打折,0
1268,男,35,杭州,4,1,0,564,30389.58,0,买一送一,0
1269,女,32,苏州,0,1,0,850,33478.89,143871.7593,疯狂打折,0
1270,男,46,杭州,6,2,0,725,30930.66,0,买一送一,0
1271,女,30,杭州,5,2,1,709,30858.16,0,疯狂打折,0
1272,男,43,杭州,1,2,0,767,14882.91,93982.8855,买一送一,0
1273,女,40,杭州,8,2,1,768,13208.5,0,疯狂打折,0
1274,男,30,杭州,4,2,1,755,27568.47,151557.7218,疯狂打折,0
1275,女,64,杭州,3,1,1,544,21300.75,152573.874,买一送一,1
1276,男,31,苏州,4,2,0,848,36927.91,110722.6935,买一送一,0
1277,男,25,杭州,6,1,1,599,4761.58,148071.5943,买一送一,0
1278,女,49,杭州,3,1,1,678,141.27,251548.4562,疯狂打折,1
1279,女,34,杭州,2,2,0,831,31709.54,0,疯狂打折,0
1280,男,18,扬州,7,1,1,644,11404.44,0,疯狂打折,1
1281,男,38,扬州,1,1,1,667,14888.51,107258.9274,买一送一,0
1282,男,50,扬州,7,2,0,635,10432.27,196127.9772,疯狂打折,1
1283,男,33,杭州,9,1,0,605,28264.39,157627.9686,疯狂打折,0
1284,男,32,杭州,4,2,1,578,27117.17,0,买一送一,0
1285,女,44,杭州,7,2,0,568,11925.55,0,疯狂打折,1
1286,女,53,扬州,1,2,0,499,27695.81,92527.4019,疯狂打折,1
1287,男,41,扬州,1,1,0,769,4918.49,89187.1893,买一送一,0
1288,男,31,苏州,0,1,0,510,6328.75,139837.0149,买一送一,1
1289,男,33,扬州,5,1,0,605,13740.49,184614.144,疯狂打折,0
1290,女,35,杭州,9,2,0,494,35134.39,138654.2838,买一送一,0
1291,女,34,杭州,3,2,1,758,23752.61,0,买一送一,0
1292,男,44,扬州,7,2,0,457,35562.59,0,疯狂打折,0
1293,男,36,扬州,4,1,0,640,33081.54,0,疯狂打折,0
1294,男,27,杭州,0,2,1,849,30189.64,0,疯狂打折,0
1295,女,41,扬州,4,2,1,530,28223.08,0,疯狂打折,0
1296,男,35,杭州,2,2,1,793,15239.79,0,买一送一,0
1297,女,33,苏州,10,1,1,749,5811.93,94331.4306,疯狂打折,0
1298,男,61,杭州,0,2,1,727,36085.86,157703.1708,买一送一,1
1299,男,43,杭州,1,2,0,659,5143.52,130486.2966,买一送一,0
1300,男,35,杭州,8,1,0,665,32368.64,136449.4842,买一送一,0
1301,女,57,苏州,3,1,0,502,8330.46,124802.3313,买一送一,1
1302,男,37,杭州,9,1,1,691,27994.56,183768.3714,买一送一,0
1303,男,36,扬州,1,2,1,733,20722.33,0,疯狂打折,0
1304,男,37,杭州,1,2,1,693,15844.65,0,买一送一,0
1305,男,38,苏州,5,1,0,850,14965.31,180510.7164,买一送一,0
1306,女,53,苏州,1,2,1,724,2469.2,171815.8218,买一送一,0
1307,男,39,扬州,0,1,1,694,19557.2,131662.5702,买一送一,0
1308,男,41,扬州,2,2,0,569,25673.53,0,买一送一,0
1309,女,33,杭州,2,1,1,707,15934.18,71384.6859,买一送一,0
1310,男,34,杭州,2,2,1,662,10539.34,144810.1017,疯狂打折,0
1311,女,42,苏州,4,1,0,538,22794.73,98867.6952,买一送一,0
1312,女,38,苏州,8,1,0,453,24798.85,148366.5483,买一送一,0
1313,男,31,杭州,10,1,1,680,23449.27,139349.3691,买一送一,0
1314,男,71,扬州,8,1,1,727,37943.95,0,买一送一,1
1315,女,39,苏州,7,2,1,799,26680.19,205896.588,疯狂打折,0
