用户码,性别,玫瑰套餐,紫罗兰套餐,郁金香套餐,百合套餐,康乃馨套餐,胡姬花套餐,生日套餐,情人节套餐,会员卡类型,入会月数,会费支付方式,平均月消费,总消费,已停付会费
2114,男,否,否,否,否,否,否,否,否,月卡,9,手工转账,44.95,431,是
2115,女,是,否,否,是,是,否,否,否,年卡,48,手工转账,34.7,1604.5,是
2116,女,否,否,是,是,是,否,否,否,月卡,38,微信自动扣款,66.15,2522.4,否
2117,男,否,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,3,微信自动扣款,20.2,50.6,否
2118,男,否,否,否,否,否,是,否,是,月卡,3,手工转账,60.65,196.9,否
2119,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,32,微信自动扣款,19.9,601.55,否
2120,女,否,否,否,是,是,否,否,是,月卡,10,就餐时付费,94.85,953.45,是
2121,女,否,否,否,否,否,否,否,是,月卡,1,手工转账,85.8,85.8,是
2122,女,是,否,否,否,否,否,是,是,月卡,3,就餐时付费,95.2,292.85,是
2123,女,否,否,否,否,否,否,是,否,月卡,3,花呗付款,34.8,113.95,否
2124,女,是,是,是,是,是,是,是,否,双年卡,56,花呗付款,81.25,4620.4,否
2125,男,否,否,否,否,否,否,否,否,月卡,9,手工转账,24.6,190.1,否
2126,女,否,否,否,否,是,否,否,是,年卡,63,花呗付款,58.55,3503.5,否
2127,女,否,否,否,是,否,否,否,否,月卡,53,花呗付款,73.8,4003.85,否
2128,男,否,否,是,否,否,否,否,否,双年卡,35,手工转账,55.25,1924.1,否
2129,男,否,否,否,否,否,否,否,否,月卡,13,微信自动扣款,25.15,331.85,否
2130,男,是,是,否,否,是,是,是,是,年卡,41,就餐时付费,102.6,4213.35,是
2131,男,是,是,是,是,否,否,否,是,月卡,14,手工转账,69.2,944.65,否
2132,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,14,手工转账,19.9,283.75,否
2133,女,是,是,是,是,否,否,否,是,月卡,51,就餐时付费,93.8,4539.35,否
2134,女,否,否,否,否,否,否,否,是,月卡,1,就餐时付费,55.4,55.4,是
2135,女,否,否,否,否,否,否,否,否,月卡,1,手工转账,69.95,69.95,是
2136,女,是,否,是,否,否,是,否,否,年卡,68,微信自动扣款,55.9,3848.8,否
2137,男,否,否,否,否,是,否,是,否,月卡,1,就餐时付费,88.8,88.8,是
2138,女,否,否,否,否,否,否,否,否,年卡,1,手工转账,25.85,25.85,否
2139,女,否,否,否,是,是,否,是,是,双年卡,60,就餐时付费,99.65,5941.05,否
2140,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,23,微信自动扣款,20.4,478.75,否
2141,男,否,否,否,否,否,否,否,否,月卡,7,手工转账,73.75,545.15,是
2142,男,是,是,是,是,否,否,是,否,月卡,3,就餐时付费,89.85,248.4,否
2143,男,是,是,是,是,是,是,是,否,双年卡,72,微信自动扣款,82.3,5815.15,否
2144,男,否,否,否,否,否,否,否,否,月卡,5,微信自动扣款,75.9,357.75,是
2145,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,6,手工转账,19.7,113.5,否
2146,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,13,微信自动扣款,19.75,246.7,否
2147,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,47,微信自动扣款,19.9,942.95,否
2148,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,14,手工转账,19.65,228.65,否
2149,男,是,否,否,是,否,否,否,否,月卡,3,花呗付款,29.8,94.4,否
2150,女,是,是,是,否,是,是,是,否,双年卡,23,微信自动扣款,77.15,1759.4,否
2151,女,是,否,是,是,是,是,是,是,双年卡,72,微信自动扣款,92,6474.4,否
2152,女,否,否,否,否,否,否,否,否,月卡,1,手工转账,43.95,43.95,是
2153,女,否,否,是,是,是,是,否,是,月卡,66,微信自动扣款,103.1,6595,否
2154,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,53,花呗付款,25.55,1336.1,否
2155,女,否,否,是,否,否,否,否,否,月卡,11,微信自动扣款,79,929.3,否
2156,男,否,是,是,是,否,否,否,否,月卡,2,微信自动扣款,60.95,134.6,否
2157,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,花呗付款,20.3,20.3,否
2158,男,否,否,是,否,是,是,是,是,双年卡,61,花呗付款,111.6,6876.05,是
2159,男,否,否,否,否,否,否,否,是,月卡,1,就餐时付费,35.45,35.45,是
2160,男,是,是,否,是,是,否,否,否,年卡,67,就餐时付费,87.4,5918.8,是
2161,男,否,否,否,否,否,否,否,否,月卡,18,手工转账,74.15,1387,否
2162,女,否,否,否,否,否,否,否,是,月卡,12,微信自动扣款,78.1,947.3,是
2163,女,是,否,否,是,是,是,是,是,双年卡,65,微信自动扣款,107.65,7082.85,否
2164,女,是,是,是,是,是,否,否,是,年卡,61,花呗付款,100.7,6018.65,否
2165,男,是,否,否,否,否,否,是,是,月卡,18,就餐时付费,94.75,1691.9,否
2166,女,是,否,是,否,否,是,是,是,月卡,27,微信自动扣款,104.3,2867.75,是
2167,女,否,否,否,是,否,否,否,否,月卡,2,花呗付款,49.05,91.1,是
2168,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,4,就餐时付费,19.95,82.9,否
2169,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,41,手工转账,20,810.3,否
2170,男,是,是,否,否,否,否,否,否,月卡,19,花呗付款,50.1,910.45,否
2171,男,是,否,否,否,否,否,是,否,月卡,2,手工转账,86.85,156.35,是
2172,男,是,是,是,否,否,是,否,否,月卡,25,就餐时付费,54.3,1296.8,否
2173,男,是,是,否,是,是,否,是,否,年卡,60,就餐时付费,90.95,5453.4,是
2174,女,是,否,否,否,否,否,否,是,月卡,8,花呗付款,85.2,627.4,是
2175,男,是,否,是,是,是,否,是,是,双年卡,72,花呗付款,84.45,5899.85,否
2176,男,否,否,是,否,是,否,否,否,月卡,5,手工转账,55.8,274.35,否
2177,男,否,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,0,手工转账,20.25, ,否
2178,女,是,否,是,否,是,否,否,否,年卡,59,花呗付款,81.25,4639.45,否
2179,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,68,花呗付款,25.8,1911.5,否
2180,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,54,微信自动扣款,24.05,1230.9,否
2181,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,22,花呗付款,20.3,467.15,否
2182,女,是,否,否,否,否,否,否,否,月卡,49,花呗付款,52.15,2583.75,否
2183,女,是,是,是,是,否,否,否,否,月卡,51,微信自动扣款,79.15,4018.55,否
2184,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,19,手工转账,25.6,485.9,否
2185,女,否,是,是,否,否,否,否,否,月卡,2,花呗付款,80.55,188.1,否
2186,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,14,手工转账,19.55,294.5,否
2187,男,是,否,否,否,否,否,是,是,月卡,57,就餐时付费,44.85,2572.95,是
2188,男,是,是,是,是,否,是,否,是,双年卡,72,花呗付款,97.75,6991.6,否
2189,女,否,否,是,是,是,否,是,否,双年卡,63,花呗付款,98,6218.45,否
2190,男,是,否,是,是,否,否,否,是,年卡,17,手工转账,64.8,1175.6,否
2191,女,否,否,否,否,否,是,是,否,月卡,4,手工转账,64.4,253,否
2192,男,否,否,否,是,否,否,是,否,月卡,6,就餐时付费,85.35,489.45,是
2193,男,否,否,否,是,否,是,否,是,月卡,56,就餐时付费,94.45,5124.6,是
2194,女,是,是,否,否,否,否,是,是,月卡,13,就餐时付费,88.35,1222.8,是
2195,男,是,否,否,是,是,否,否,是,月卡,71,微信自动扣款,93.25,6669.45,否
2196,女,是,否,否,否,否,是,否,否,月卡,6,就餐时付费,49.15,270.8,是
2197,女,是,是,是,是,是,是,是,是,双年卡,72,花呗付款,88.05,6425.65,否
2198,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,10,微信自动扣款,19.6,189.45,否
2199,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,69,花呗付款,24.95,1718.35,否
2200,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,手工转账,20.1,20.1,是
2201,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,60,微信自动扣款,20.5,1198.8,否
2202,男,是,是,是,否,是,否,否,是,月卡,47,就餐时付费,90.05,4137.2,否
2203,男,否,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,2,手工转账,19.25,48.35,否
2204,女,否,否,否,否,否,否,是,是,月卡,2,就餐时付费,96,174.8,是
2205,男,否,否,是,是,否,否,否,是,月卡,53,微信自动扣款,46.3,2546.85,否
2206,男,是,是,是,是,是,是,否,否,年卡,60,微信自动扣款,65.85,3928.3,否
2207,男,是,是,否,否,是,否,否,是,月卡,34,花呗付款,90.05,3097,否
2208,男,是,是,否,是,否,是,是,否,月卡,53,就餐时付费,92.55,4779.45,否
2209,女,否,否,否,否,是,否,是,是,年卡,55,就餐时付费,100.15,5409.75,否
2210,男,否,否,是,否,是,否,是,是,月卡,57,就餐时付费,53.75,3196,否
2211,男,否,否,否,否,是,否,是,是,年卡,5,手工转账,70,347.4,是
2212,男,是,是,否,否,否,否,否,否,月卡,1,手工转账,45.85,45.85,是
2213,女,否,否,是,否,是,是,是,是,双年卡,61,花呗付款,86.45,5175.3,否
2214,男,是,是,否,是,否,否,是,是,月卡,38,就餐时付费,101.15,3741.85,否
2215,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,50,微信自动扣款,20.15,930.9,否
2216,女,否,否,是,否,是,是,是,是,月卡,60,微信自动扣款,104.95,6236.75,否
2217,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,71,花呗付款,19.7,1415.85,否
2218,女,是,是,否,是,否,否,否,否,月卡,9,手工转账,55.3,501.2,否
2219,女,是,否,否,是,否,是,是,否,双年卡,46,花呗付款,64.2,3009.5,否
2220,男,是,是,否,是,是,是,是,是,月卡,35,就餐时付费,109.95,3782.4,否
2221,女,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,71.35,71.35,是
2222,女,否,否,否,是,否,否,是,是,月卡,1,花呗付款,100.25,100.25,是
2223,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,23,花呗付款,19.65,478.1,否
2224,男,是,否,是,是,否,否,否,是,月卡,21,微信自动扣款,64.95,1339.8,否
2225,男,是,否,否,是,是,是,否,是,年卡,70,微信自动扣款,51.05,3635.15,否
2226,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,16,就餐时付费,19.75,313.4,否
2227,女,否,否,否,是,否,是,是,否,月卡,1,就餐时付费,91.7,91.7,是
2228,男,否,否,是,否,是,是,是,是,双年卡,66,微信自动扣款,105.65,6844.5,否
2229,男,否,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,14,手工转账,19.95,268.4,否
2230,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,46,微信自动扣款,20.25,890.35,否
2231,男,否,是,否,否,否,是,是,是,年卡,49,微信自动扣款,100.6,5069.65,是
2232,女,是,是,否,否,否,否,是,否,月卡,3,就餐时付费,80.7,239.45,否
2233,男,是,否,否,是,是,是,是,是,双年卡,68,微信自动扣款,110,7611.85,是
2234,男,是,是,否,否,是,否,是,否,月卡,34,手工转账,84.05,2909.95,否
2235,女,是,是,否,否,否,否,是,否,月卡,50,微信自动扣款,84.4,4116.15,是
2236,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,3,就餐时付费,20.25,61.45,否
2237,女,否,否,否,否,否,否,是,否,月卡,25,手工转账,84.6,2088.05,否
2238,女,否,否,是,是,否,是,是,是,月卡,19,手工转账,105,2007.25,否
2239,男,否,否,否,是,是,否,是,是,双年卡,65,花呗付款,105.1,6631.85,否
2240,女,是,是,否,否,否,否,否,是,月卡,3,微信自动扣款,84.75,264.85,是
2241,女,是,否,是,否,是,是,是,是,年卡,67,就餐时付费,111.25,7511.65,否
2242,女,否,否,否,否,否,否,否,否,月卡,8,就餐时付费,75.25,576.7,否
2243,男,是,否,是,是,是,是,否,否,双年卡,67,花呗付款,70.9,4677.1,否
2244,男,否,否,否,否,否,是,是,否,年卡,26,花呗付款,59.45,1507,否
2245,男,是,否,否,是,是,否,否,是,月卡,57,微信自动扣款,95.25,5427.05,是
2246,男,否,否,否,否,否,否,否,否,月卡,39,就餐时付费,75.25,3017.65,是
2247,男,是,是,否,是,否,否,否,否,月卡,47,就餐时付费,54.25,2538.2,否
2248,男,否,否,否,否,否,是,是,是,月卡,20,手工转账,98.55,2031.95,否
2249,男,是,否,否,否,否,否,否,否,月卡,17,微信自动扣款,70.4,1214.05,是
2250,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,52,微信自动扣款,21,1107.2,否
2251,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,0,手工转账,25.35, ,否
2252,女,是,否,是,是,否,是,否,是,年卡,61,微信自动扣款,93.7,5860.7,否
2253,女,否,否,否,否,是,否,是,是,月卡,8,花呗付款,94.45,742.95,是
2254,女,是,否,是,是,是,是,是,是,双年卡,72,花呗付款,89.1,6352.4,否
2255,男,否,否,否,否,否,是,否,否,月卡,24,花呗付款,51.1,1269.6,否
2256,男,否,否,否,否,否,否,否,否,月卡,4,就餐时付费,69.35,261.65,否
2257,男,否,否,否,否,否,否,否,是,月卡,26,就餐时付费,83.95,2254.2,是
2258,女,是,否,是,是,否,是,否,否,年卡,66,就餐时付费,89,5898.6,否
2259,女,是,是,是,是,是,是,是,是,双年卡,65,微信自动扣款,91.55,5963.95,否
2260,女,否,否,是,否,是,是,是,是,年卡,34,微信自动扣款,79.95,2727.3,否
2261,女,是,是,是,否,是,是,是,是,双年卡,45,手工转账,81,3533.6,否
2262,女,是,是,是,是,是,否,是,否,双年卡,71,花呗付款,99,7061.65,否
2263,男,否,否,否,否,是,是,是,是,年卡,18,花呗付款,82,1425.45,是
2264,男,否,否,否,否,否,是,是,是,月卡,2,就餐时付费,70.3,132.4,否
2265,男,是,否,是,否,否,否,否,否,月卡,8,就餐时付费,74.5,609.9,是
2266,女,是,是,否,否,否,是,否,否,月卡,3,手工转账,31,95.05,是
2267,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,12,就餐时付费,20.05,264.55,否
2268,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,16,手工转账,20.1,296.15,否
2269,女,否,否,是,是,否,是,是,是,双年卡,72,微信自动扣款,110.1,7746.7,否
2270,女,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,70.25,70.25,是
2271,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,手工转账,20.2,20.2,否
2272,男,是,否,否,否,否,否,否,是,月卡,10,就餐时付费,85.55,851.75,是
2273,男,否,否,否,是,否,否,否,否,月卡,4,就餐时付费,78.45,330.05,是
2274,女,否,否,否,是,是,否,否,是,双年卡,62,花呗付款,43.6,2748.7,否
2275,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,53,微信自动扣款,24.05,1301.9,否
2276,女,是,是,是,否,是,否,是,是,年卡,52,就餐时付费,100.3,5244.45,否
2277,男,否,否,否,是,否,否,是,否,月卡,19,就餐时付费,88.2,1775.8,是
2278,男,否,是,否,否,否,否,否,否,月卡,18,花呗付款,45.65,747.2,否
2279,男,是,否,否,是,否,否,否,否,月卡,51,花呗付款,29.45,1459.35,否
2280,男,否,否,是,是,是,是,是,是,双年卡,72,微信自动扣款,113.8,7845.8,否
2281,男,否,否,否,否,否,否,否,否,月卡,6,花呗付款,44.7,276.5,否
2282,男,是,是,是,是,是,是,是,是,双年卡,72,微信自动扣款,116.6,8337.45,否
2283,男,是,否,是,是,是,否,是,是,双年卡,58,就餐时付费,86.1,4890.5,否
2284,男,是,是,否,是,是,否,是,是,双年卡,71,微信自动扣款,106,7723.7,是
2285,男,否,否,否,是,是,否,是,是,双年卡,57,微信自动扣款,79.75,4438.2,否
2286,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,71,微信自动扣款,25.45,1813.35,否
2287,女,是,是,是,否,是,是,是,是,双年卡,72,花呗付款,84.7,5893.9,否
2288,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,17,手工转账,19.15,343.45,否
2289,男,否,否,否,否,否,否,是,是,月卡,39,微信自动扣款,95.65,3759.05,是
2290,女,是,是,否,是,否,是,否,否,月卡,8,微信自动扣款,56.3,401.5,否
2291,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,68,花呗付款,19.6,1441.65,否
2292,男,是,是,否,是,是,是,是,是,年卡,28,花呗付款,60,1682.05,否
2293,女,否,否,否,否,否,否,否,否,月卡,1,手工转账,75.05,75.05,是
2294,女,否,否,否,否,否,否,否,否,月卡,2,手工转账,45.25,74.2,否
2295,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,71,手工转账,19.45,1378.45,否
2296,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,34,花呗付款,19.6,678.8,否
2297,男,否,否,否,否,是,是,是,否,双年卡,30,花呗付款,69.1,2093.9,否
2298,男,否,是,否,是,是,是,是,是,年卡,32,花呗付款,83.7,2633.3,否
2299,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,6,手工转账,25.4,153.3,否
2300,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,45,手工转账,25.5,1121.05,否
2301,女,否,否,否,否,否,是,否,否,月卡,37,花呗付款,28.6,973.55,是
2302,男,否,否,否,是,是,是,是,是,月卡,11,就餐时付费,111.4,1183.05,否
2303,男,否,否,否,否,否,否,否,否,月卡,2,手工转账,72.6,154.3,否
2304,女,是,否,否,是,否,否,否,否,月卡,1,手工转账,76.4,76.4,是
2305,女,是,是,是,否,否,是,否,否,双年卡,23,手工转账,34.6,813.45,否
2306,女,否,否,是,否,否,否,否,是,月卡,29,就餐时付费,66.1,1912.15,否
2307,男,是,是,是,是,否,否,否,否,年卡,68,微信自动扣款,85.5,5696.6,否
2308,男,是,否,是,否,是,否,否,否,月卡,17,手工转账,34.4,592.75,否
2309,男,否,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,手工转账,19.2,19.2,否
2310,男,是,否,是,否,是,是,是,是,双年卡,59,花呗付款,64.05,3886.85,否
2311,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,69,微信自动扣款,19.3,1447.9,否
2312,男,是,否,否,是,否,否,是,是,月卡,32,花呗付款,98.85,3145.9,否
2313,男,是,否,否,否,否,是,否,否,月卡,29,就餐时付费,79.3,2414.55,否
2314,男,是,否,否,否,否,否,否,是,年卡,59,就餐时付费,85.55,5084.65,是
2315,男,否,否,否,否,否,否,否,否,月卡,15,手工转账,76,1130.85,是
2316,男,是,是,是,否,是,是,是,否,年卡,28,手工转账,50.8,1386.8,否
2317,男,否,否,是,是,否,是,否,是,月卡,50,花呗付款,93.5,4747.5,否
2318,女,否,否,否,否,否,否,是,是,月卡,5,就餐时付费,45.7,198,是
2319,女,是,否,否,否,否,否,否,是,月卡,14,就餐时付费,78.1,1122.4,否
2320,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,20,微信自动扣款,19.5,413,否
2321,男,否,否,否,否,否,否,是,是,月卡,3,就餐时付费,92,266.8,否
2322,男,否,否,否,否,否,否,是,是,月卡,35,就餐时付费,95.45,3474.05,是
2323,男,是,否,否,否,是,否,是,是,月卡,6,就餐时付费,95.75,573.75,是
2324,男,否,否,否,否,否,否,是,是,月卡,14,就餐时付费,95.6,1273.3,否
2325,男,否,否,否,否,是,是,是,否,月卡,23,花呗付款,96.9,2085.45,否
2326,男,是,是,是,是,是,否,是,是,年卡,71,微信自动扣款,104.65,7288.4,否
2327,男,是,是,是,是,否,否,是,是,年卡,28,就餐时付费,106.1,2847.4,是
2328,女,是,否,是,否,否,是,是,是,年卡,64,手工转账,96.9,6314.35,否
2329,女,否,否,否,是,否,否,是,是,月卡,3,就餐时付费,50.6,155.35,是
2330,女,否,否,是,是,是,否,是,是,月卡,34,手工转账,109.8,3587.25,是
2331,女,否,否,否,否,否,否,否,否,月卡,1,微信自动扣款,49.95,49.95,是
2332,女,否,否,否,是,是,是,是,是,月卡,33,就餐时付费,110.45,3655.45,是
2333,男,否,否,否,否,否,否,是,是,月卡,12,就餐时付费,94.55,1173.55,否
2334,男,是,否,否,是,否,否,是,是,年卡,72,花呗付款,97.25,7133.1,否
2335,男,是,否,否,否,是,是,否,否,年卡,36,花呗付款,54.1,1992.85,否
2336,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,4,就餐时付费,20.2,55.7,否
2337,男,是,否,否,是,否,否,否,否,月卡,8,微信自动扣款,49.55,393.45,否
2338,女,是,否,否,否,是,否,是,是,月卡,18,就餐时付费,48.35,810.7,是
2339,男,是,是,否,是,是,否,是,是,月卡,29,花呗付款,80.1,2211.8,否
2340,女,是,否,是,否,否,否,是,是,月卡,28,手工转账,92.35,2602.9,是
2341,女,否,否,否,否,是,否,是,是,年卡,59,就餐时付费,99.5,5890,否
2342,女,否,否,是,否,否,否,否,否,月卡,16,就餐时付费,54.1,889,否
2343,女,是,是,是,否,否,是,否,是,年卡,67,花呗付款,94.35,6341.45,是
2344,男,否,否,否,是,是,否,是,是,月卡,40,手工转账,102.65,4108.15,否
2345,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,9,手工转账,19.75,210.65,否
2346,女,否,否,是,否,否,是,否,否,年卡,8,微信自动扣款,54.25,447.75,否
2347,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,58,手工转账,19.85,1158.85,否
2348,男,是,是,是,否,是,否,是,是,双年卡,71,就餐时付费,105.55,7405.5,否
2349,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,5,手工转账,19.95,109.6,否
2350,女,否,否,否,是,否,否,是,否,月卡,17,就餐时付费,83.55,1329.15,否
2351,男,是,是,否,否,否,否,是,否,月卡,30,就餐时付费,85.45,2509.95,否
2352,女,否,否,否,否,否,否,否,否,月卡,3,就餐时付费,76.1,257.6,否
2353,男,否,否,否,否,否,否,是,否,月卡,16,就餐时付费,86.6,1281,是
2354,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,13,微信自动扣款,24.5,343.6,否
2355,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,30,手工转账,21.25,711.9,否
2356,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,手工转账,19.2,19.2,否
2357,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,34,手工转账,19.7,675.6,否
2358,男,是,否,是,是,是,是,是,是,双年卡,52,就餐时付费,106.3,5487,否
2359,女,否,否,否,是,是,是,否,否,月卡,13,就餐时付费,89.4,1132.35,是
2360,女,否,否,否,否,否,否,否,否,月卡,4,微信自动扣款,70.9,273,是
2361,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,44,就餐时付费,24.85,1013.6,否
2362,男,是,否,否,是,是,否,是,是,月卡,47,就餐时付费,104.1,5135.15,否
2363,男,否,否,否,否,否,否,是,是,月卡,5,微信自动扣款,94.85,462.8,是
2364,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,13,手工转账,18.8,251.25,否
2365,女,否,否,否,是,是,否,是,是,月卡,8,就餐时付费,105.5,829.55,是
2366,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,23,手工转账,23.85,625.65,否
2367,男,是,否,否,是,否,否,否,否,月卡,40,手工转账,50.15,2058.5,否
2368,女,是,是,否,是,否,是,是,否,双年卡,67,花呗付款,94.1,6302.8,否
2369,女,否,否,否,是,否,否,是,是,月卡,25,就餐时付费,100.25,2387.75,是
2370,女,是,是,是,是,是,是,是,是,双年卡,70,花呗付款,115.15,8250,否
2371,男,否,否,否,是,否,否,否,是,双年卡,43,就餐时付费,60,2548.55,否
2372,女,是,是,是,是,是,是,是,是,双年卡,72,花呗付款,89.55,6448.85,否
2373,男,是,否,否,否,否,否,否,否,月卡,21,就餐时付费,69.1,1474.75,是
2374,女,否,否,否,是,否,否,是,否,月卡,12,就餐时付费,91.3,1094.5,是
2375,男,是,是,是,是,否,是,否,否,双年卡,51,花呗付款,60.5,3121.45,否
2376,男,是,是,是,是,否,是,否,否,双年卡,55,微信自动扣款,57.55,3046.4,是
2377,男,否,否,是,否,否,是,否,否,年卡,51,花呗付款,59.9,3043.6,否
2378,女,是,否,是,是,否,是,否,否,月卡,22,手工转账,63.55,1381.8,否
2379,女,是,是,否,否,否,是,否,否,月卡,51,就餐时付费,80.75,4116.9,否
2380,女,是,是,是,是,是,否,是,是,双年卡,71,微信自动扣款,109,7661.8,否
2381,男,否,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,3,手工转账,20.05,75.45,否
2382,女,否,否,否,是,是,是,是,是,双年卡,31,手工转账,79.2,2497.2,否
2383,女,是,是,否,是,是,否,否,是,年卡,44,就餐时付费,94.4,4295.35,否
2384,女,是,否,否,是,否,否,否,否,月卡,3,微信自动扣款,74.6,239.05,否
2385,男,否,否,否,否,否,否,否,否,月卡,1,微信自动扣款,45.25,45.25,否
2386,男,是,是,否,是,否,是,是,是,月卡,60,微信自动扣款,103.75,5969.95,否
2387,男,否,否,否,否,是,否,否,否,月卡,41,微信自动扣款,55.7,2237.55,否
2388,女,是,是,否,否,否,否,是,是,月卡,2,手工转账,65.7,134.35,是
2389,男,否,否,否,否,否,否,否,否,年卡,29,手工转账,24.85,788.05,否
2390,女,是,否,是,否,是,否,是,是,月卡,65,微信自动扣款,105.25,6786.4,是
2391,男,否,否,否,否,否,否,否,否,月卡,5,手工转账,71.45,371.6,否
2392,女,否,否,否,是,否,否,否,否,月卡,2,就餐时付费,79.55,151.75,否
2393,男,是,否,是,否,否,是,否,否,年卡,28,手工转账,54.35,1426.45,否
2394,男,是,是,否,否,否,否,否,否,月卡,1,就餐时付费,71,71,是
2395,男,否,否,否,是,否,否,否,否,月卡,2,就餐时付费,79.45,145.15,否
2396,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,14,手工转账,19.5,272,否
2397,男,是,否,是,是,是,否,是,是,年卡,58,就餐时付费,108.85,6287.25,是
2398,男,否,否,否,否,否,否,否,否,月卡,15,就餐时付费,51.55,765.5,是
2399,女,是,否,否,是,否,否,否,是,月卡,19,就餐时付费,89.1,1620.8,否
2400,男,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,69.35,69.35,是
2401,男,否,否,否,否,是,否,是,否,双年卡,60,就餐时付费,89.55,5231.2,否
2402,女,否,否,是,是,是,是,是,否,双年卡,71,花呗付款,77.35,5550.1,否
2403,男,否,否,否,否,否,否,否,否,月卡,1,手工转账,24.4,24.4,否
2404,女,否,否,否,否,是,是,是,是,月卡,6,手工转账,99.95,547.65,是
2405,女,是,是,是,否,是,是,是,是,年卡,43,花呗付款,60.4,2640.55,否
2406,男,否,否,是,是,是,否,否,是,年卡,68,花呗付款,76.9,5023,否
2407,男,是,否,否,是,是,否,否,是,月卡,58,就餐时付费,45.3,2651.2,是
2408,女,否,否,否,否,否,否,是,否,月卡,4,花呗付款,55.5,227.35,否
2409,男,否,否,否,否,否,否,否,否,月卡,46,花呗付款,45.2,2065.15,否
2410,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,35,花呗付款,19.7,730.4,否
2411,男,否,否,否,否,否,否,是,否,月卡,47,花呗付款,86.05,3865.6,否
